id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,138050,5700,125479,808,54,3,1643212800,395,3,189,0,9,2,12498,125472,25,290,6871,126,1
2,oversea,367193145,5652749,290339283,None,None,None,1643212800,4006867,None,2992130,11144,None,None,None,None,None,None,71201113,1003593,None
