id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,基里巴斯,201,65,0,201,65,0.0%,0,0,0.0%,0,1
2,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
3,韩国,793582,14514,614712,172192,11019,77.5%,3461,6678,0.8%,34,1
4,帕劳共和国,1393,124,126,1267,119,9.0%,5,0,0.0%,0,1
5,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
6,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
7,萨摩亚独立国,27,1,3,24,1,11.1%,0,0,0.0%,0,1
8,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
9,马尔维纳斯群岛,85,0,68,17,0,80.0%,0,0,0.0%,0,1
10,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
11,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
12,所罗门群岛,898,105,25,868,102,2.8%,0,5,0.6%,3,1
13,莱索托,32049,0,20990,10369,0,65.5%,0,690,2.2%,0,1
14,科摩罗,7827,3,7626,42,-20,97.4%,23,159,2.0%,0,1
15,塔吉克斯坦,17265,12,17046,95,-16,98.7%,28,124,0.7%,0,1
16,海峡群岛,40543,473,37528,2886,75,92.6%,398,129,0.3%,0,1
17,阿拉伯联合酋长国,838384,2638,774043,62107,1535,92.3%,1099,2234,0.3%,4,1
18,也门,10842,54,7086,1751,37,65.4%,15,2005,18.5%,2,1
19,圣皮埃尔,839,39,623,216,22,74.3%,17,0,0.0%,0,1
20,圣多美和普林西比,5867,0,5426,372,0,92.5%,0,69,1.2%,0,1
21,南苏丹,16767,14,12934,3696,14,77.1%,0,137,0.8%,0,1
22,马拉维,84224,92,68843,12837,-312,81.7%,401,2544,3.0%,3,1
23,布隆迪,37265,32,773,36454,32,2.1%,0,38,0.1%,0,1
24,塞拉利昂,7611,0,4393,3093,0,57.7%,0,125,1.6%,0,1
25,博茨瓦纳,250746,0,243325,4841,0,97.0%,0,2580,1.0%,0,1
26,百慕大,10552,0,9032,1404,0,85.6%,0,116,1.1%,0,1
27,英属维尔京群岛,5809,0,2649,3111,0,45.6%,0,49,0.8%,0,1
28,安圭拉,2270,0,2139,124,0,94.2%,0,7,0.3%,0,1
29,格林纳达,12090,0,9954,1926,0,82.3%,0,210,1.7%,0,1
30,圣基茨和尼维斯,5368,37,4816,519,-34,89.7%,71,33,0.6%,0,1
31,特克斯和凯科斯群岛,5678,26,5425,219,-9,95.5%,35,34,0.6%,0,1
32,几内亚比绍,7519,24,6538,827,-24,87.0%,48,154,2.0%,0,1
33,马里,29949,37,25642,3596,-51,85.6%,87,711,2.4%,1,1
34,利比亚,419543,3157,390934,22616,2558,93.2%,587,5993,1.4%,12,1
35,老挝,132130,698,7660,123936,697,5.8%,0,534,0.4%,1,1
36,伯利兹,49794,796,39783,9387,-100,79.9%,894,624,1.3%,2,1
37,缅甸,534671,288,512742,2619,17,95.9%,271,19310,3.6%,0,1
38,多米尼克,8838,111,8058,729,3,91.2%,108,51,0.6%,0,1
39,莫桑比克,223413,0,208770,12479,0,93.4%,0,2164,1.0%,0,1
40,叙利亚,51177,49,37413,10785,-259,73.1%,305,2979,5.8%,3,1
41,马恩岛,21292,88,20621,601,-15,96.8%,103,70,0.3%,0,1
42,巴布亚新几内亚,36866,0,35877,392,0,97.3%,0,597,1.6%,0,1
43,厄立特里亚,9436,0,9004,335,0,95.4%,0,97,1.0%,0,1
44,乌干达,161192,285,99179,58503,255,61.5%,22,3510,2.2%,8,1
45,安哥拉,97901,218,92296,3712,-480,94.3%,697,1893,1.9%,1,1
46,东帝汶,19894,15,19740,32,15,99.2%,0,122,0.6%,0,1
47,新喀里多尼亚,18643,691,13737,4623,644,73.7%,47,283,1.5%,0,1
48,马达加斯加,57375,0,52012,4140,0,90.7%,0,1223,2.1%,0,1
49,津巴布韦,229096,167,216699,7073,-508,94.6%,670,5324,2.3%,5,1
50,佛得角,55595,72,54497,705,-133,98.0%,204,393,0.7%,1,1
51,蒙特塞拉特,161,0,148,12,-1,91.9%,1,1,0.6%,0,1
52,海地,28875,0,24410,3681,0,84.5%,0,784,2.7%,0,1
53,尼日尔,8632,13,7863,472,-32,91.1%,45,297,3.4%,0,1
54,乍得,7073,0,4874,2009,0,68.9%,0,190,2.7%,0,1
55,萨尔瓦多,127012,0,117753,5388,-4,92.7%,0,3871,3.0%,4,1
56,尼加拉瓜,17650,0,4225,13209,0,23.9%,0,216,1.2%,0,1
57,斐济,62373,0,59937,1638,0,96.1%,0,798,1.3%,0,1
58,毛里求斯,25675,115,24733,180,-5,96.3%,120,762,3.0%,0,1
59,赞比亚,304353,736,295937,4506,-373,97.2%,1108,3910,1.3%,1,1
60,吉布提,15411,24,15073,149,-42,97.8%,66,189,1.2%,0,1
61,吉尔吉斯斯坦,197437,479,185771,8799,-154,94.1%,629,2867,1.5%,4,1
62,巴巴多斯,42122,723,33317,8528,183,79.1%,540,277,0.7%,0,1
63,黑山,216856,1839,206941,7374,-1198,95.4%,3026,2541,1.2%,11,1
64,冈比亚,11572,0,10156,1069,0,87.8%,0,347,3.0%,0,1
65,格陵兰岛,10359,0,2761,7593,0,26.7%,0,5,0.0%,0,1
66,贝宁,26450,141,25506,781,141,96.4%,0,163,0.6%,0,1
67,索马里,25388,0,13182,10871,0,51.9%,0,1335,5.3%,0,1
68,坦桑尼亚,32920,0,183,31959,0,0.6%,0,778,2.4%,0,1
69,利比里亚,7243,0,5747,1207,0,79.3%,0,289,4.0%,0,1
70,圭亚那合作共和国,58604,424,45440,12008,82,77.5%,336,1156,2.0%,6,1
71,马约特,36225,200,2964,33074,200,8.2%,0,187,0.5%,0,1
72,巴哈马,32376,44,24178,7463,-123,74.7%,167,735,2.3%,0,1
73,乌兹别克斯坦,219663,1117,209417,8692,-176,95.3%,1291,1554,0.7%,2,1
74,瓜德罗普,105319,10554,2250,102296,10543,2.1%,0,773,0.7%,11,1
75,开曼群岛,11666,0,8093,3558,0,69.4%,0,15,0.1%,0,1
76,刚果（布）,23653,0,19298,3984,0,81.6%,0,371,1.6%,0,1
77,中非共和国,13898,0,6859,6929,0,49.4%,0,110,0.8%,0,1
78,塞舌尔,36559,0,32811,3599,0,89.7%,0,149,0.4%,0,1
79,赤道几内亚,15774,42,15121,471,-272,95.9%,313,182,1.2%,1,1
80,纳米比亚,155623,121,145325,6351,-27,93.4%,138,3947,2.5%,10,1
81,卢旺达,128629,131,45522,81671,130,35.4%,0,1436,1.1%,1,1
82,斯威士兰,68239,41,66596,270,21,97.6%,19,1373,2.0%,1,1
83,毛里塔尼亚,57919,146,52743,4236,-832,91.1%,975,940,1.6%,3,1
84,阿鲁巴,32718,38,32115,410,-126,98.2%,164,193,0.6%,0,1
85,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
86,苏里南,72548,459,49236,22056,434,67.9%,20,1256,1.7%,5,1
87,库拉索,36722,271,33730,2767,-126,91.9%,396,225,0.6%,1,1
88,圣卢西亚,20417,225,15877,4214,-114,77.8%,339,326,1.6%,0,1
89,圣文森特和格林纳丁斯,6663,1,5711,860,-5,85.7%,6,92,1.4%,0,1
90,安提瓜和巴布达,6524,419,5617,780,308,86.1%,107,127,1.9%,4,1
91,危地马拉,681308,3655,627320,37671,1600,92.1%,2046,16317,2.4%,9,1
92,乌拉圭,631019,11668,551355,73275,-17,87.4%,11656,6389,1.0%,29,1
93,委内瑞拉,477022,2010,454418,17179,62,95.3%,1943,5425,1.1%,5,1
94,苏丹,57106,762,40329,13355,762,70.6%,0,3422,6.0%,0,1
95,几内亚,36013,0,31870,3727,0,88.5%,0,416,1.2%,0,1
96,埃塞俄比亚,463921,418,395364,61254,-4549,85.2%,4955,7303,1.6%,12,1
97,哈萨克斯坦,1204769,13652,1032639,158936,2634,85.7%,11305,13194,1.1%,0,1
98,肯尼亚,320918,152,293017,22334,-280,91.3%,430,5567,1.7%,2,1
99,特立尼达和多巴哥,108892,680,84292,21242,668,77.4%,0,3358,3.1%,12,1
100,加蓬,46469,271,41461,4707,-51,89.2%,321,301,0.6%,1,1
101,加纳,156392,727,152907,2101,-1126,97.8%,1839,1384,0.9%,14,1
102,法属波利尼西亚,48044,0,33500,13908,0,69.7%,0,636,1.3%,0,1
103,古巴,1033984,2987,1010162,15439,-90,97.7%,3074,8383,0.8%,3,1
104,留尼汪岛,180531,0,108771,71260,0,60.3%,0,500,0.3%,0,1
105,科特迪瓦,80487,33,77295,2410,-43,96.0%,76,782,1.0%,0,1
106,洪都拉斯,391874,729,127038,254332,715,32.4%,0,10504,2.7%,14,1
107,玻利维亚,841757,6938,670031,150902,1056,79.6%,5828,20824,2.5%,54,1
108,圣马丁岛,9229,43,8343,807,-145,90.4%,188,79,0.9%,0,1
109,圣巴泰勒米岛,3435,0,462,2967,0,13.4%,0,6,0.2%,0,1
110,牙买加,122463,527,68949,50897,323,56.3%,198,2617,2.1%,6,1
111,土耳其,11250107,77434,10567427,596019,-8255,93.9%,85501,86661,0.8%,188,1
112,刚果（金）,84926,117,50930,32718,117,60.0%,0,1278,1.5%,0,1
113,巴拿马,678128,19722,586539,83933,2567,86.5%,17119,7656,1.1%,36,1
114,蒙古国,438295,2273,313256,122935,2271,71.5%,0,2104,0.5%,2,1
115,布基纳法索,20591,77,19967,258,-213,97.0%,277,366,1.8%,13,1
116,塞浦路斯,246354,1930,124370,121260,1919,50.5%,0,724,0.3%,11,1
117,文莱,16206,0,15743,365,0,97.1%,0,98,0.6%,0,1
118,马提尼克,82813,0,104,81883,0,0.1%,0,826,1.0%,0,1
119,法属圭亚那,75006,123,11254,63382,123,15.0%,0,370,0.5%,0,1
120,法罗群岛,17403,859,7693,9692,859,44.2%,0,18,0.1%,0,1
121,阿尔巴尼亚,254126,1562,227629,23168,-86,89.6%,1642,3329,1.3%,6,1
122,孟加拉国,1747331,15807,1561043,158000,14755,89.3%,1037,28288,1.6%,15,1
123,保加利亚,923466,9916,663168,227281,5032,71.8%,4814,33017,3.6%,70,1
124,摩尔多瓦,428934,6199,376491,41843,4484,87.8%,1694,10600,2.5%,21,1
125,马尔代夫,128089,2813,110852,16963,6,86.5%,2805,274,0.2%,2,1
126,巴拉圭,559906,5930,480315,62415,2257,85.8%,3615,17176,3.1%,58,1
127,马耳他,66938,230,62039,4358,-363,92.7%,590,541,0.8%,3,1
128,哥斯达黎加,675178,6525,572137,95520,6381,84.7%,131,7521,1.1%,13,1
129,哥伦比亚,5816462,17889,5574490,108680,-15667,95.8%,33274,133292,2.3%,282,1
130,多哥,36452,49,31812,4373,-229,87.3%,278,267,0.7%,0,1
131,秘鲁,3120401,49601,1720665,1194796,49419,55.1%,0,204940,6.6%,182,1
132,斯洛伐克,971945,14255,856644,97522,11404,88.1%,2821,17779,1.8%,30,1
133,喀麦隆,114113,0,106050,6196,0,92.9%,0,1867,1.6%,0,1
134,梵蒂冈,29,0,27,2,0,93.1%,0,0,0.0%,0,1
135,塞尔维亚,1616584,17674,1337218,265949,9722,82.7%,7912,13417,0.8%,40,1
136,直布罗陀,12441,164,10750,1591,43,86.4%,121,100,0.8%,0,1
137,不丹,4225,136,2780,1441,136,65.8%,0,4,0.1%,0,1
138,列支敦士登,8590,110,8066,451,0,93.9%,110,73,0.8%,0,1
139,巴勒斯坦,471245,4948,440607,25831,4216,93.5%,730,4807,1.0%,2,1
140,南非,3594499,4511,3432829,67019,-6958,95.5%,11375,94651,2.6%,94,1
141,波黑,341913,2632,192218,135452,2574,56.2%,0,14243,4.2%,58,1
142,匈牙利,1508358,19213,1241328,225801,10463,82.3%,8686,41229,2.7%,64,1
143,斯洛文尼亚,673154,14227,513949,153370,7347,76.3%,6865,5835,0.9%,15,1
144,波兰,4752700,57659,3905776,742017,45127,82.2%,12269,104907,2.2%,263,1
145,阿根廷,8207752,88503,7272010,815390,10491,88.6%,77696,120352,1.5%,316,1
146,智利,2045874,0,1762201,244079,4,86.1%,0,39594,1.9%,0,1
147,乌克兰,3980610,32393,3608094,272634,27002,90.6%,5237,99882,2.5%,154,1
