id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,97784251,773501,90195194,6309484,92.2%,1279573,1.3%
2,欧洲,120741044,1885628,90703665,28430563,75.1%,1606816,1.3%
3,非洲,10920205,39439,9700448,981437,88.8%,238320,2.2%
4,大洋洲,2652549,49033,2249237,397440,84.8%,5872,0.2%
5,北美洲,87439101,845327,56248398,29880061,64.3%,1310642,1.5%
6,南美洲,47381256,413939,41133520,5037431,86.8%,1210305,2.6%
7,其他,712,0,699,0,98.2%,13,1.8%
