id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,126775,5696,117880,507,74,1,1636300800,65,0,42,0,27,-1,9779,116996,19,46,19,46,3199,23,1
2,oversea,250894060,5065092,227167963,None,None,None,1636300800,327130,None,284224,4580,None,None,None,None,None,None,None,None,18661005,38326,None
