id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,82,0,79,3,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,20717,135,13742,6122,135,0,853,0,1,0,0
5,香港,0,0,138145,19725,20649,116130,18963,564,1366,198,1,0,0
6,贵州,0,0,162,0,160,0,0,0,2,0,1,0,0
7,吉林,22,11,629,8,588,38,8,0,3,0,1,5,3
8,新疆,0,0,996,0,993,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,2,0,1632,11,1320,311,-9,20,1,0,1,11,0
11,甘肃,0,0,369,0,358,9,0,0,2,0,1,0,0
12,天津,11,4,1136,4,1093,40,1,3,3,0,1,1,3
13,山西,0,0,287,1,268,19,1,0,0,0,1,1,0
14,辽宁,19,0,1029,0,829,198,-1,1,2,0,1,0,0
15,黑龙江,48,5,2092,4,2050,29,4,0,13,0,1,3,1
16,海南,3,1,191,0,184,1,0,0,6,0,1,0,0
17,河北,1,0,1482,5,1469,6,5,0,7,0,1,5,0
18,陕西,0,0,2826,0,2823,0,0,0,3,0,1,0,0
19,云南,149,19,1966,6,1880,84,4,2,2,0,1,4,2
20,广西,197,14,1159,29,863,294,22,7,2,0,1,3,26
21,福建,28,2,1568,2,1477,90,0,2,1,0,1,0,2
22,上海,186,40,4478,48,3888,583,39,9,7,0,1,5,43
23,北京,137,4,1504,9,1370,125,4,5,9,0,1,0,9
24,江苏,40,0,1781,1,1691,90,-15,16,0,0,1,1,0
25,四川,63,9,1490,13,1379,108,13,0,3,0,1,0,13
26,山东,22,1,1144,2,1090,47,2,0,7,0,1,0,2
27,江西,0,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,9,0,622,0,607,9,0,0,6,0,1,0,0
29,安徽,0,0,1013,0,1003,4,0,0,6,0,1,0,0
30,湖南,0,0,1235,1,1226,5,1,0,4,0,1,1,0
31,河南,42,5,2677,5,2636,19,4,1,22,0,1,0,5
32,广东,500,38,5034,140,3925,1101,122,18,8,0,1,23,117
33,浙江,124,2,2275,9,2019,255,9,0,1,0,1,2,7
34,湖北,22,0,68377,4,63808,57,4,0,4512,0,1,4,0
