id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,391847,9218,144623,6287,1455,4,1647014400,5850,0,1129,285,6,0,16237,375479,131,5588,238006,4305,1
2,oversea,456571897,6054612,390594234,None,None,None,1647014400,1442168,None,1138037,5507,None,None,None,None,None,None,59923051,298624,None
