id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,379962,8639,141446,3238,586,12,1646755200,19860,10,933,572,7,-1,15836,356287,126,12258,229877,11160,1
2,oversea,452288589,6041644,387273138,None,None,None,1646841600,1854656,None,2117677,7282,None,None,None,None,None,None,58973807,-270303,None
