id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,174007,6066,133544,924,100,9,1645804800,5878,7,378,80,19,1,14192,159739,127,5675,34397,5347,1
2,oversea,434933303,5959205,365150095,None,None,None,1645804800,1326055,None,1957834,8894,None,None,None,None,None,None,63824003,-640673,None
