id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,82346295,98635,79605293,1527197,96.7%,1213805,1.5%
2,欧洲,75301892,336045,65989305,7880940,87.6%,1431647,1.9%
3,非洲,8805077,19994,8152214,428670,92.6%,224193,2.5%
4,大洋洲,377034,1877,333902,38869,88.6%,4263,1.1%
5,北美洲,59663858,179357,48020458,10442568,80.5%,1200832,2.0%
6,南美洲,39069607,19850,37137888,748194,95.1%,1183525,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
