id,date,confirmed,cured,died,curConfirm,curConfirmRelative
1,2021-10-06,236655808,213777248,4828936,18049624,430819
2,2021-10-07,237173979,214307093,4838458,18028428,518171
3,2021-10-08,237619406,214686009,4847078,18086319,445427
4,2021-10-09,238057721,215202180,4854701,18000840,438315
5,2021-10-10,238391196,215545197,4859597,17986402,333475
6,2021-10-11,238689427,215876547,4864234,17948646,298231
7,2021-10-12,239084546,216341810,4870348,17872388,395119
8,2021-10-13,239552538,216890377,4879354,17782807,467992
9,2021-10-14,240030657,217337663,4887023,17805971,478119
10,2021-10-15,240475705,217747325,4894894,17833486,445048
11,2021-10-16,240896734,218133055,4901924,17861755,421029
12,2021-10-17,241241037,218463260,4906998,17870779,344303
13,2021-10-18,241486889,218710707,4911136,17865046,245852
14,2021-10-19,241982195,219291408,4918702,17772085,495306
15,2021-10-20,242454200,219721721,4926780,17805699,472005
16,2021-10-21,242916273,220133425,4935392,17847456,462073
17,2021-10-22,243385467,220506289,4943119,17936059,469194
18,2021-10-23,243824528,220914272,4950785,17959471,439061
19,2021-10-24,244185900,221212953,4956758,18016189,361372
20,2021-10-25,244492477,221490033,4961263,18041181,306577
21,2021-10-26,244889124,221977691,4968554,17942879,396647
22,2021-10-27,245413119,222426705,4977923,18008491,523995
23,2021-10-28,245885738,222803929,4986493,18095316,472619
24,2021-10-29,246396773,223221760,4994313,18180700,511035
25,2021-10-30,246876926,223606254,5002896,18267776,480153
26,2021-10-31,247152654,223865780,5007667,18279207,275728
27,2021-11-01,247478057,224134173,5011998,18331886,325403
28,2021-11-02,247888633,224563873,5018471,18306289,410576
29,2021-11-03,248333898,225009181,5026485,18298232,445265
30,2021-11-04,248913733,225470373,5035241,18408119,579835
31,2021-11-05,249448509,225858431,5043301,18546777,534776
32,2021-11-06,249946113,226238152,5051858,18656103,497604
33,2021-11-07,250313991,226573223,5057411,18683357,367878
34,2021-11-08,250641121,226857447,5061991,18721683,327130
35,2021-11-09,251120690,227344492,5069266,18706932,479569
36,2021-11-10,251664402,227812362,5078301,18773739,543712
37,2021-11-11,252250194,228254584,5086774,18908836,585792
38,2021-11-12,252767345,228633007,5093700,19040638,517151
39,2021-11-13,253302585,229080204,5102530,19119851,535240
40,2021-11-14,253715115,229413953,5108048,19193114,412530
41,2021-11-15,254104672,229738664,5112822,19253186,389557
42,2021-11-16,254673339,230225867,5120466,19327006,568667
43,2021-11-17,255222595,230686337,5128547,19407711,549256
44,2021-11-18,255871164,231200863,5137555,19532746,648569
45,2021-11-19,256446383,231626972,5145598,19673813,575219
46,2021-11-20,257055411,232083898,5153585,19817928,609028
47,2021-11-21,257482691,232449094,5160804,19872793,427280
48,2021-11-22,257913276,233450615,5165653,19297008,430585
49,2021-11-23,258522292,233960379,5173292,19388621,609016
50,2021-11-24,259174401,234474954,5181988,19517459,652109
51,2021-11-25,259866715,234934884,5190734,19741097,692314
52,2021-11-26,260460899,235363000,5197815,19900084,594184
53,2021-11-27,261001346,235780749,5204590,20016007,540447
54,2021-11-28,261421820,236130204,5210070,20081546,420474
55,2021-11-29,261837085,236477164,5214767,20145154,415265
56,2021-11-30,262521106,237061697,5223186,20236223,684021
57,2021-12-01,263191680,237622707,5231932,20337041,670574
58,2021-12-02,263882169,238133018,5240309,20508842,690489
59,2021-12-03,264587987,238541067,5248246,20798674,705818
60,2021-12-04,265294318,239051894,5256334,20986090,706331
