id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,82,0,79,3,0,0,0,0,1,0,0
3,青海,0,0,32,0,30,2,0,0,0,0,1,0,0
4,台湾,0,0,21583,181,13742,6988,181,0,853,0,1,0,0
5,香港,0,0,272235,5348,30281,236818,3722,1058,5136,568,1,0,0
6,贵州,1,0,170,2,160,8,2,0,2,0,1,2,0
7,吉林,3421,442,9098,988,589,8506,988,0,3,0,1,988,0
8,新疆,0,0,996,0,993,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,7,4,1666,0,1641,24,-10,10,1,0,1,0,0
11,甘肃,146,8,578,13,382,194,-1,14,2,0,1,12,1
12,天津,60,9,1483,58,1157,323,54,4,3,0,1,48,10
13,山西,0,0,295,0,275,20,-3,3,0,0,1,0,0
14,辽宁,350,145,1202,82,960,240,68,14,2,0,1,78,4
15,黑龙江,93,13,2159,16,2069,77,16,0,13,0,1,16,0
16,海南,3,0,193,0,184,3,0,0,6,0,1,0,0
17,河北,832,178,1747,38,1469,271,38,0,7,0,1,38,0
18,陕西,0,0,3125,26,2828,294,21,5,3,0,1,26,0
19,云南,389,26,2026,6,1920,104,4,2,2,0,1,5,1
20,广西,325,38,1333,12,1004,327,7,5,2,0,1,7,5
21,福建,168,105,1824,156,1533,290,141,15,1,0,1,154,2
22,上海,1254,156,4877,23,4227,643,23,0,7,0,1,8,15
23,北京,210,2,1681,18,1468,204,13,5,9,0,1,10,8
24,江苏,263,82,1972,12,1773,199,6,6,0,0,1,7,5
25,四川,72,4,1583,2,1440,140,-10,12,3,0,1,0,2
26,山东,1563,118,2285,51,1123,1155,45,6,7,0,1,45,6
27,江西,12,4,961,2,958,2,2,0,1,0,1,2,0
28,重庆,24,2,667,4,610,51,2,2,6,0,1,4,0
29,安徽,30,10,1021,1,1003,12,1,0,6,0,1,1,0
30,湖南,12,2,1241,2,1228,9,1,1,4,0,1,2,0
31,河南,117,9,2714,1,2644,48,0,1,22,0,1,1,0
32,广东,1922,105,6153,105,4370,1775,15,90,8,0,1,84,21
33,浙江,278,8,2520,39,2059,460,39,0,1,0,1,28,11
34,湖北,14,1,68388,0,63845,31,-5,5,4512,0,1,0,0
