id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,84696331,119486,81857759,1588040,96.6%,1250532,1.5%
2,欧洲,88421906,781926,75186134,11704913,85.0%,1530859,1.7%
3,非洲,9855010,47373,8723115,902668,88.5%,229227,2.3%
4,大洋洲,627175,36072,415678,206972,66.3%,4525,0.7%
5,北美洲,66196723,501422,50310939,14640170,76.0%,1245614,1.9%
6,南美洲,39859069,88784,37661313,1005542,94.5%,1192214,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
