id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,140822,5700,127468,872,46,0,1644163200,515,0,234,0,5,-1,12788,128033,40,474,7654,280,1
2,oversea,398018627,5763140,317494931,None,None,None,1644163200,1853970,None,1888831,6140,None,None,None,None,None,None,74760556,-41001,None
