id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,104783286,542791,96984831,6496939,92.6%,1301516,1.2%
2,欧洲,136551467,1023962,104677442,30233550,76.7%,1640475,1.2%
3,非洲,11210329,13814,10086629,881433,90.0%,242267,2.2%
4,大洋洲,2983328,25920,2630938,345664,88.2%,6726,0.2%
5,北美洲,91826214,75199,59811117,30670209,65.1%,1344888,1.5%
6,南美洲,50663291,172284,43303275,6132761,85.5%,1227255,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
