id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,基里巴斯,364,65,0,364,65,0.0%,0,0,0.0%,0,1
2,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
3,韩国,828637,17540,621972,199933,13657,75.1%,3849,6732,0.8%,34,1
4,帕劳共和国,1404,0,251,1153,0,17.9%,0,0,0.0%,0,1
5,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
6,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
7,萨摩亚独立国,30,0,3,27,0,10.0%,0,0,0.0%,0,1
8,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
9,马尔维纳斯群岛,85,0,68,17,0,80.0%,0,0,0.0%,0,1
10,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
11,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
12,所罗门群岛,898,0,25,868,0,2.8%,0,5,0.6%,0,1
13,莱索托,32176,127,21484,9999,-370,66.8%,494,693,2.2%,3,1
14,科摩罗,7829,2,7630,39,-3,97.5%,4,160,2.0%,1,1
15,塔吉克斯坦,17297,18,17096,77,-14,98.8%,32,124,0.7%,0,1
16,海峡群岛,40947,404,38082,2735,-151,93.0%,554,130,0.3%,1,1
17,阿拉伯联合酋长国,840739,2355,775172,63328,1221,92.2%,1129,2239,0.3%,5,1
18,也门,10898,20,7090,1801,19,65.1%,0,2007,18.4%,1,1
19,圣皮埃尔,856,17,658,198,-18,76.9%,35,0,0.0%,0,1
20,圣多美和普林西比,5883,0,5501,313,0,93.5%,0,69,1.2%,0,1
21,南苏丹,16779,8,13077,3565,-132,77.9%,140,137,0.8%,0,1
22,马拉维,84389,85,69120,12712,-116,81.9%,192,2557,3.0%,9,1
23,布隆迪,37299,34,773,36488,34,2.1%,0,38,0.1%,0,1
24,塞拉利昂,7615,0,4393,3097,0,57.7%,0,125,1.6%,0,1
25,博茨瓦纳,250746,0,243325,4841,0,97.0%,0,2580,1.0%,0,1
26,百慕大,10552,0,9032,1404,0,85.6%,0,116,1.1%,0,1
27,英属维尔京群岛,5809,0,2649,3111,0,45.6%,0,49,0.8%,0,1
