id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,124198178,713479,111823658,11013109,90.0%,1361411,1.1%
2,欧洲,164192000,872866,144900952,17553622,88.3%,1737426,1.1%
3,非洲,11618168,5059,10774127,592372,92.7%,251669,2.2%
4,大洋洲,4167688,77892,3609402,550054,86.6%,8232,0.2%
5,北美洲,95646080,65373,68522118,25699181,71.6%,1424781,1.5%
6,南美洲,55138434,85562,49714835,4156611,90.2%,1266988,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
