id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,82,0,79,3,0,0,0,0,1,0,0
3,青海,0,0,32,1,30,2,1,0,0,0,1,1,0
4,台湾,0,0,21225,144,13742,6630,144,0,853,0,1,0,0
5,香港,0,0,251224,5089,26242,221538,3918,877,3444,294,1,0,0
6,贵州,0,0,163,1,160,1,1,0,2,0,1,1,0
7,吉林,789,266,1270,137,589,678,137,0,3,0,1,135,2
8,新疆,0,0,996,0,993,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,1,0,1665,1,1562,102,-21,22,1,0,1,1,0
11,甘肃,54,40,535,11,366,167,11,0,2,0,1,4,7
12,天津,22,6,1250,37,1138,109,21,16,3,0,1,35,2
13,山西,0,0,295,0,268,27,0,0,0,0,1,0,0
14,辽宁,73,11,1047,3,910,135,-7,10,2,0,1,0,3
15,黑龙江,69,1,2111,3,2063,35,0,3,13,0,1,2,1
16,海南,4,2,193,0,184,3,0,0,6,0,1,0,0
17,河北,45,22,1574,22,1469,98,22,0,7,0,1,22,0
18,陕西,0,0,2919,30,2823,93,30,0,3,0,1,30,0
19,云南,291,23,2002,4,1900,100,1,3,2,0,1,4,0
20,广西,244,22,1256,10,970,284,-5,15,2,0,1,0,10
21,福建,22,2,1592,1,1509,82,-7,8,1,0,1,1,0
22,上海,632,87,4747,27,4087,653,7,20,7,0,1,5,22
23,北京,198,9,1611,8,1422,180,0,8,9,0,1,3,5
24,江苏,66,16,1886,20,1738,148,14,6,0,0,1,20,0
25,四川,66,2,1557,12,1400,154,6,6,3,0,1,0,12
26,山东,1167,439,1780,195,1107,666,191,4,7,0,1,188,7
27,江西,0,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,17,4,631,5,608,17,5,0,6,0,1,3,2
29,安徽,5,1,1016,1,1003,7,1,0,6,0,1,0,1
30,湖南,1,1,1236,1,1227,5,1,0,4,0,1,0,1
31,河南,88,3,2708,5,2641,45,5,0,22,0,1,1,4
32,广东,1262,211,5683,63,4117,1558,36,27,8,0,1,33,30
33,浙江,263,43,2347,30,2059,287,30,0,1,0,1,29,1
34,湖北,26,0,68386,2,63818,56,2,0,4512,0,1,0,2
