id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,纽埃,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,库克群岛,280,41,71,209,26,25.4%,15,0,0.0%,0,1
3,基里巴斯,3019,9,2407,599,0,79.7%,9,13,0.4%,0,1
4,汤加王国,1513,162,453,1058,84,29.9%,76,2,0.1%,2,1
5,韩国,6206277,282976,969524,5226609,282747,15.6%,0,10144,0.2%,229,1
6,帕劳共和国,3899,9,3568,325,9,91.5%,0,6,0.2%,0,1
7,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
8,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
9,萨摩亚独立国,46,4,28,18,4,60.9%,0,0,0.0%,0,1
10,瓦努阿图共和国,207,62,16,190,61,7.7%,1,1,0.5%,0,1
11,马尔维纳斯群岛,118,1,68,50,1,57.6%,0,0,0.0%,0,1
12,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
13,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
14,所罗门群岛,8491,0,1860,6513,0,21.9%,0,118,1.4%,0,1
15,莱索托,32716,0,23461,8558,0,71.7%,0,697,2.1%,0,1
16,科摩罗,8060,3,7884,16,2,97.8%,1,160,2.0%,0,1
17,塔吉克斯坦,17388,0,17263,1,0,99.3%,0,124,0.7%,0,1
18,海峡群岛,56437,349,52513,3777,37,93.0%,312,147,0.3%,0,1
19,阿拉伯联合酋长国,885089,382,848821,33966,-711,95.9%,1093,2302,0.3%,0,1
20,也门,11783,0,8838,806,0,75.0%,0,2139,18.2%,0,1
21,圣皮埃尔,1316,36,1099,216,30,83.5%,6,1,0.1%,0,1
22,圣多美和普林西比,5934,0,5862,0,0,98.8%,0,72,1.2%,0,1
23,南苏丹,17051,10,13503,3410,8,79.2%,1,138,0.8%,1,1
24,马拉维,85486,15,76642,6224,-103,89.7%,118,2620,3.1%,0,1
25,布隆迪,38238,29,773,37427,29,2.0%,0,38,0.1%,0,1
26,塞拉利昂,7667,1,4393,3149,1,57.3%,0,125,1.6%,0,1
27,博茨瓦纳,263950,0,259434,1897,0,98.3%,0,2619,1.0%,0,1
28,百慕大,11850,107,11502,224,44,97.1%,62,124,1.0%,1,1
29,英属维尔京群岛,6091,0,2649,3380,0,43.5%,0,62,1.0%,0,1
30,安圭拉,2574,0,2552,13,0,99.1%,0,9,0.3%,0,1
31,格林纳达,13690,0,13336,138,0,97.4%,0,216,1.6%,0,1
32,圣基茨和尼维斯,5538,1,5491,5,0,99.2%,1,42,0.8%,0,1
33,特克斯和凯科斯群岛,5874,7,5808,30,-14,98.9%,21,36,0.6%,0,1
34,几内亚比绍,8050,11,7055,827,1,87.6%,10,168,2.1%,0,1
35,马里,30409,5,29564,119,3,97.2%,1,726,2.4%,1,1
36,利比亚,499767,302,481778,11653,-527,96.4%,819,6336,1.3%,10,1
37,老挝,145507,413,7660,137207,410,5.3%,0,640,0.4%,3,1
38,伯利兹,57034,27,55851,531,-58,97.9%,85,652,1.1%,0,1
39,缅甸,604219,956,555290,29526,-445,91.9%,1399,19403,3.2%,2,1
40,多米尼克,11502,40,11127,313,28,96.7%,12,62,0.5%,0,1
41,莫桑比克,225165,3,221955,1012,-76,98.6%,79,2198,1.0%,0,1
42,叙利亚,55288,50,49151,3027,-129,88.9%,177,3110,5.6%,2,1
43,马恩岛,24346,207,23195,1070,65,95.3%,141,81,0.3%,1,1
44,巴布亚新几内亚,41533,0,39905,989,0,96.1%,0,639,1.5%,0,1
45,厄立特里亚,9720,1,9616,1,1,98.9%,0,103,1.1%,0,1
46,乌干达,163462,31,100108,59760,19,61.2%,11,3594,2.2%,1,1
47,安哥拉,98855,0,96817,138,0,97.9%,0,1900,1.9%,0,1
48,东帝汶,22784,0,22566,89,0,99.0%,0,129,0.6%,0,1
49,新喀里多尼亚,59217,54,55768,3144,-740,94.2%,793,305,0.5%,1,1
50,马达加斯加,63791,0,59002,3416,0,92.5%,0,1373,2.2%,0,1
51,津巴布韦,242069,499,231438,5219,-600,95.6%,1098,5412,2.2%,1,1
52,佛得角,55906,2,55441,64,1,99.2%,1,401,0.7%,0,1
53,蒙特塞拉特,166,0,162,2,0,97.6%,0,2,1.2%,0,1
54,海地,30438,3,26220,3391,-295,86.1%,298,827,2.7%,0,1
55,尼日尔,8780,0,8460,12,0,96.4%,0,308,3.5%,0,1
56,乍得,7258,0,4874,2194,0,67.2%,0,190,2.6%,0,1
57,萨尔瓦多,156364,0,132410,19859,-1,84.7%,0,4095,2.6%,1,1
58,尼加拉瓜,18203,0,4225,13756,0,23.2%,0,222,1.2%,0,1
59,斐济,64067,7,62218,1015,-3,97.1%,10,834,1.3%,0,1
60,毛里求斯,33856,504,30378,2544,-124,89.7%,480,934,2.8%,148,1
61,赞比亚,315148,136,309522,1666,-143,98.2%,279,3960,1.3%,0,1
62,吉布提,15564,0,15359,16,0,98.7%,0,189,1.2%,0,1
63,吉尔吉斯斯坦,200720,16,195820,1928,-10,97.6%,25,2972,1.5%,1,1
64,巴巴多斯,56805,128,55256,1226,-254,97.3%,382,323,0.6%,0,1
65,黑山,231391,86,227870,829,-37,98.5%,121,2692,1.2%,2,1
66,冈比亚,11963,0,11583,15,0,96.8%,0,365,3.1%,0,1
67,格陵兰岛,11856,17,2761,9075,17,23.3%,0,20,0.2%,0,1
68,贝宁,26575,0,25506,906,0,96.0%,0,163,0.6%,0,1
69,索马里,26400,0,13182,11870,0,49.9%,0,1348,5.1%,0,1
70,坦桑尼亚,33726,0,183,32743,0,0.5%,0,800,2.4%,0,1
71,利比里亚,7392,5,5747,1351,5,77.7%,0,294,4.0%,0,1
72,圭亚那合作共和国,63107,17,61684,199,-49,97.7%,66,1224,1.9%,0,1
73,马约特,36745,0,2964,33594,0,8.1%,0,187,0.5%,0,1
74,巴哈马,33191,8,32098,322,-27,96.7%,35,771,2.3%,0,1
75,乌兹别克斯坦,237169,70,234538,994,-17,98.9%,87,1637,0.7%,0,1
76,瓜德罗普,130705,0,2250,127612,0,1.7%,0,843,0.6%,0,1
77,开曼群岛,19433,0,8553,10863,0,44.0%,0,17,0.1%,0,1
78,刚果（布）,24049,0,20178,3493,0,83.9%,0,378,1.6%,0,1
79,中非共和国,14320,0,6859,7348,0,47.9%,0,113,0.8%,0,1
80,塞舌尔,39605,0,39212,230,0,99.0%,0,163,0.4%,0,1
81,赤道几内亚,15894,0,15670,41,0,98.6%,0,183,1.2%,0,1
82,纳米比亚,157366,0,153069,283,0,97.3%,0,4014,2.6%,0,1
83,卢旺达,129589,7,45522,82609,7,35.1%,0,1458,1.1%,0,1
84,斯威士兰,69408,28,67932,84,-3,97.9%,30,1392,2.0%,1,1
85,毛里塔尼亚,58657,1,57650,26,-3,98.3%,4,981,1.7%,0,1
86,阿鲁巴,33796,0,33522,62,0,99.2%,0,212,0.6%,0,1
87,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
88,苏里南,78740,51,49365,28055,50,62.7%,1,1320,1.7%,0,1
89,库拉索,39459,0,38760,434,0,98.2%,0,265,0.7%,0,1
90,圣卢西亚,22833,11,22424,45,5,98.2%,6,364,1.6%,0,1
91,圣文森特和格林纳丁斯,6742,0,6634,2,0,98.4%,0,106,1.6%,0,1
92,安提瓜和巴布达,7466,0,7317,14,0,98.0%,0,135,1.8%,0,1
93,危地马拉,802744,2003,757609,27996,-1952,94.4%,3944,17139,2.1%,11,1
94,乌拉圭,862153,1498,844434,10636,-1060,97.9%,2552,7083,0.8%,6,1
95,委内瑞拉,517999,204,508885,3458,-273,98.2%,475,5656,1.1%,2,1
96,苏丹,61655,0,40329,16461,0,65.4%,0,4865,7.9%,0,1
97,几内亚,36427,0,33000,2987,0,90.6%,0,440,1.2%,0,1
98,埃塞俄比亚,469153,39,421433,40236,-914,89.8%,951,7484,1.6%,2,1
99,哈萨克斯坦,1304344,119,1280084,10618,-916,98.1%,1032,13642,1.0%,3,1
100,肯尼亚,323160,20,317465,51,20,98.2%,0,5644,1.7%,0,1
101,特立尼达和多巴哥,132383,462,108546,20161,-3291,82.0%,3749,3676,2.8%,4,1
102,加蓬,47564,0,47212,49,0,99.3%,0,303,0.6%,0,1
103,加纳,160693,14,159079,169,-39,99.0%,52,1445,0.9%,1,1
104,法属波利尼西亚,70158,572,33500,36015,572,47.7%,0,643,0.9%,0,1
105,古巴,1075616,0,1064627,2486,0,99.0%,0,8503,0.8%,0,1
106,留尼汪岛,310181,0,298082,11419,0,96.1%,0,680,0.2%,0,1
107,科特迪瓦,81577,0,80623,159,0,98.8%,0,795,1.0%,0,1
108,洪都拉斯,414714,0,129792,274110,0,31.3%,0,10812,2.6%,0,1
109,玻利维亚,897098,429,805870,69755,-754,89.8%,1181,21473,2.4%,2,1
110,圣马丁岛,9599,0,9463,51,0,98.6%,0,85,0.9%,0,1
111,圣巴泰勒米岛,3780,0,462,3312,0,12.2%,0,6,0.2%,0,1
112,牙买加,128318,27,79233,46246,-73,61.7%,98,2839,2.2%,2,1
113,土耳其,14513774,29492,14065761,351796,-32893,96.9%,62245,96217,0.7%,140,1
114,刚果（金）,86315,19,50930,34050,19,59.0%,0,1335,1.5%,0,1
115,巴拿马,759224,310,748028,3065,61,98.5%,246,8131,1.1%,3,1
116,蒙古国,466817,219,313256,151384,219,67.1%,0,2177,0.5%,0,1
117,布基纳法索,20751,0,20309,67,0,97.9%,0,375,1.8%,0,1
118,塞浦路斯,347876,3473,124370,222611,3470,35.8%,0,895,0.3%,3,1
119,文莱,109538,2914,73919,35456,-1771,67.5%,4683,163,0.1%,2,1
120,马提尼克,126221,0,104,125217,0,0.1%,0,900,0.7%,0,1
121,法属圭亚那,78075,39,11254,66427,39,14.4%,0,394,0.5%,0,1
122,法罗群岛,34237,0,7693,26516,0,22.5%,0,28,0.1%,0,1
123,阿尔巴尼亚,272552,67,268093,974,-34,98.4%,100,3485,1.3%,1,1
124,孟加拉国,1949055,257,1857648,62302,-2147,95.3%,2399,29105,1.5%,5,1
125,保加利亚,1111216,1693,875759,199388,-3433,78.8%,5093,36069,3.2%,33,1
126,摩尔多瓦,507028,459,488198,7497,-95,96.3%,539,11333,2.2%,15,1
127,马尔代夫,174163,325,159621,14245,18,91.7%,307,297,0.2%,0,1
128,巴拉圭,645655,363,618923,8210,-418,95.9%,774,18522,2.9%,7,1
129,马耳他,72687,139,70472,1601,71,97.0%,68,614,0.8%,0,1
130,哥斯达黎加,822935,1368,718278,96497,-1583,87.3%,2944,8160,1.0%,7,1
131,哥伦比亚,6075656,719,5906638,29763,-506,97.2%,1194,139255,2.3%,31,1
132,多哥,36848,5,36472,104,-20,99.0%,25,272,0.7%,0,1
133,秘鲁,3534687,1071,1720665,1602599,1008,48.7%,0,211423,6.0%,63,1
134,斯洛伐克,1565484,9923,1415083,131520,-2905,90.4%,12798,18881,1.2%,30,1
135,喀麦隆,119322,0,117263,133,0,98.3%,0,1926,1.6%,0,1
136,梵蒂冈,29,0,28,1,0,96.6%,0,0,0.0%,0,1
137,塞尔维亚,1937183,2230,1872063,49568,-2251,96.6%,4462,15552,0.8%,19,1
138,直布罗陀,15840,28,15413,326,2,97.3%,26,101,0.6%,0,1
139,不丹,16666,389,12695,3964,-119,76.2%,508,7,0.0%,0,1
140,列支敦士登,14025,199,13304,642,-9,94.9%,208,79,0.6%,0,1
