id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,386101,8933,143494,5076,1173,8,1646928000,5863,5,1028,294,6,0,16106,369891,112,5647,233674,4437,1
2,oversea,454961740,6050521,389346910,None,None,None,1646928000,1820231,None,1671435,7191,None,None,None,None,None,None,59564309,141605,None
