id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,82761067,84735,80048732,1489223,96.7%,1223112,1.5%
2,欧洲,77105543,384984,67521633,8132567,87.6%,1451343,1.9%
3,非洲,8920891,30449,8189682,506386,91.8%,224823,2.5%
4,大洋洲,385855,1962,344962,36573,89.4%,4320,1.1%
5,北美洲,60306302,161518,48446714,10650703,80.3%,1208885,2.0%
6,南美洲,39160071,20695,37227097,747509,95.1%,1185465,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
