id,content,count
1,疫情,448
2,中国,208
3,防控,184
4,美国,162
5,民主,151
6,人员,139
7,医院,136
8,确诊病例,117
9,国家,100
10,新冠,100
11,工作,94
12,候诊,94
13,核酸检测,88
14,累计,87
15,报告,78
16,口岸,76
17,隔离,76
18,病例,76
19,城市,75
20,新冠肺炎,74
21,采样,73
22,新增,70
23,接种,70
24,确诊,66
25,无症状感染者,65
26,地区,63
27,口罩,63
28,人民,63
29,经济,61
30,发热,60
31,核酸,59
32,含,59
33,措施,58
34,本土,58
35,健康,58
36,新闻,57
37,记者,57
38,开放,56
39,感染,56
40,抗疫,56
41,杭州,55
42,全球,55
43,价格,55
44,管理,54
45,时间,52
46,发展,51
47,学生,51
48,疫苗,51
49,新冠病毒,50
50,门诊,50
51,2021年,49
52,做好,49
53,发布,48
54,人数,47
55,大学,47
56,满洲里,46
57,病毒,46
58,浙江,45
59,阴性,45
60,岁,45
61,边境,45
62,上涨,44
63,国际,44
64,中心,44
65,宁波,43
66,社会,43
67,陆地,40
68,佩戴,40
69,数量,40
70,相关,39
71,视频,39
72,北京,39
73,提醒,39
74,风险,39
75,考生,39
76,世界,38
77,服务,38
78,小时,37
79,管控,36
80,市,36
81,社区,36
82,考试,36
83,期间,35
84,政策,35
85,消息,35
86,份,34
87,通知,34
88,防护,34
89,浙江省,33
90,美,33
91,防疫,33
92,情况,32
93,证明,32
94,合作,32
95,观察,32
96,患者,31
97,出院,31
98,影响,31
99,活动,31
100,企业,30
101,部门,30
102,关系,30
103,天津,30
104,天津市,30
105,发布会,29
106,央视,29
107,生活,29
108,国内,29
109,48,29
110,流动,29
111,传播,29
112,2021,29
113,医学,29
114,发现,28
115,组织,28
116,主动,28
117,绍兴,27
118,持续,27
119,贸易,27
120,高风险,27
121,40,27
122,教育,27
123,卫生,27
124,保障,26
125,政府,26
126,信息,26
127,艾灸馆,26
128,症状,26
129,机构,26
130,政治,26
131,聚集,25
132,场所,25
133,单位,25
134,高速,25
135,哈尔滨,24
136,启动,24
137,航班,24
138,学校,24
139,减少,24
140,检测,24
141,考研,24
142,病房,24
143,我国,23
144,建设,23
145,全国,23
146,离开,23
147,2022年,23
148,研发,23
149,接受,23
150,尼加拉瓜,23
151,大哥,23
152,现有,23
153,医疗,22
154,奥密克戎,22
155,希望,22
156,尹恩惠,22
157,明年,22
158,戴,22
159,老板,22
160,医护,22
161,报道,22
162,落实,21
163,治疗,21
164,市场,21
165,超过,21
166,国务院,21
167,前往,21
168,教育部,21
169,旅游,21
170,航空,21
171,峰会,21
172,动态,21
173,境外输入,21
174,关注,20
175,通报,20
176,数据,20
177,显示,20
178,轮,20
179,人群,20
180,国,20
181,生命,20
182,清零,20
183,到位,20
184,变异,19
185,增长,19
186,特效药,19
187,监督,19
188,交通,19
189,8时,19
190,台湾,19
191,官方,19
192,实施,19
193,美式,19
194,疾控,19
195,食品,19
196,下午,18
197,最新,18
198,内蒙古,18
199,治愈,18
200,香港,18
201,发生,18
202,公司,18
203,浪漫,18
204,阳性,18
205,封控,18
206,人民币,18
207,密切接触者,18
208,本轮,17
209,介绍,17
210,战略,17
211,控制,17
212,入世,17
213,机制,17
214,精准,17
215,努力,17
216,顾客,17
217,紧急,17
218,守护,17
219,春节,17
220,群众,17
221,配合,17
222,一线,17
223,导致,17
224,监测,17
225,考前,17
226,感染者,16
227,应对,16
228,35,16
229,第三,16
230,公布,16
231,自治区,16
232,近日,16
233,抗体,16
234,今日,16
235,降至,16
236,每人,16
237,巴黎,16
238,立案,16
239,公安,16
240,携程,16
241,通胀,16
242,计划,16
243,车辆,16
244,外出,16
245,小区,16
246,提前,16
247,满城,16
248,会议,15
249,历史,15
250,推进,15
251,水平,15
252,公告,15
253,澳门,15
254,输入,15
255,工作人员,15
256,单人,15
257,检查,15
258,有人,15
259,沈阳市,15
260,探索,15
261,每周,15
262,流调,15
263,24时,15
264,报备,15
265,出行,15
266,同比,15
267,杭州市,15
268,绍兴市,15
269,制度,15
270,老年人,15
271,青兰,15
272,加护,15
273,新世界,15
274,定点,14
275,商品,14
276,美元,14
277,代表,14
278,带来,14
279,降低,14
280,研究,14
281,联防,14
282,联控,14
283,直辖市,14
284,至少,14
285,科学,14
286,沈阳,14
287,武汉,14
288,带,14
289,原则,14
290,自我,14
291,依法,14
292,圣诞,14
293,乘坐,14
294,元旦,14
295,CPI,14
296,死亡,14
297,机场,14
298,校园,14
299,17时,14
300,30分,14
301,力量,13
302,救治,13
303,康复,13
304,就业,13
305,生产,13
306,日本,13
307,高校,13
308,教授,13
309,责任,13
310,医保局,13
311,单检,13
312,山西,13
313,媒体,13
314,提供,13
315,过程,13
316,建立,13
317,公共,13
318,物资,13
319,接待,13
320,赴,13
321,接触史,13
