id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,128977,5697,119704,474,20,2,1639152000,93,1,30,0,28,0,10457,118513,26,60,26,60,3576,56,1
2,oversea,269871967,5312498,242666174,None,None,None,1639152000,597041,None,501006,7973,None,None,None,None,None,None,None,None,21893295,88062,None
