id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127018,5697,118038,533,35,2,1636560000,110,0,66,0,20,0,9828,117190,19,91,19,91,3283,44,1
2,oversea,252502199,5089495,228434166,None,None,None,1636560000,585792,None,442222,8473,None,None,None,None,None,None,None,None,18978538,135097,None
