id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,130016,5699,120146,501,19,3,1640016000,123,2,85,0,7,2,10732,119256,20,75,20,75,4171,15,1
2,oversea,276605176,5382827,248122137,None,None,None,1640016000,810375,None,778047,7287,None,None,None,None,None,None,None,None,23100212,25041,None
