id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,88153430,435821,83258752,3632856,94.4%,1261822,1.4%
2,欧洲,100050449,1502737,79599407,18887681,79.6%,1563361,1.6%
3,非洲,10337432,57230,9109576,994776,88.1%,233080,2.3%
4,大洋洲,1569200,105592,575560,988825,36.7%,4815,0.3%
5,北美洲,75609256,825568,52091649,22249785,68.9%,1267822,1.7%
6,南美洲,41947867,291375,38301557,2450092,91.3%,1196218,2.9%
7,其他,712,0,699,0,98.2%,13,1.8%
