id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,81745659,86148,79022317,1519406,96.7%,1203936,1.5%
2,欧洲,72711966,354185,64136551,7171007,88.2%,1404408,1.9%
3,非洲,8712424,5066,8109266,379877,93.1%,223281,2.6%
4,大洋洲,363454,1647,325309,33955,89.5%,4190,1.2%
5,北美洲,58744539,67138,47311448,10243660,80.5%,1189431,2.0%
6,南美洲,38937774,22196,37015156,741753,95.1%,1180865,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
