id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,92982013,850556,86195375,5515922,92.7%,1270716,1.4%
2,欧洲,110234240,1684666,84586455,24060432,76.7%,1587353,1.4%
3,非洲,10657093,40758,9440582,980610,88.6%,235901,2.2%
4,大洋洲,2266496,67674,1056715,1204471,46.6%,5310,0.2%
5,北美洲,82648578,1166726,54003318,27357072,65.3%,1288188,1.6%
6,南美洲,44679579,464581,39724680,3752877,88.9%,1202022,2.7%
7,其他,712,0,699,0,98.2%,13,1.8%
