id,date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
1,2022-11-22,127537,3,118820,5697,25,0,68,0,10042,14
2,2022-11-23,127572,1,118892,5697,35,0,72,0,10060,18
3,2022-11-24,127602,2,118962,5697,30,1,70,0,10082,22
4,2022-11-25,127631,4,119031,5697,29,2,69,0,10091,9
5,2022-11-26,127672,2,119110,5697,41,0,79,0,10111,20
6,2022-11-27,127710,3,119159,5697,38,2,49,0,10131,20
7,2022-11-28,127764,3,119201,5697,54,0,42,0,10151,20
8,2022-11-29,127814,3,119238,5697,50,0,37,0,10169,18
9,2022-11-30,127938,2,119275,5697,124,0,37,0,10191,22
10,2022-12-01,128022,2,119314,5697,84,1,39,0,10211,20
11,2022-12-02,128141,5,119347,5697,119,3,33,0,10227,16
12,2022-12-03,128245,2,119398,5697,104,1,51,0,10242,15
13,2022-12-04,128319,1,119437,5697,74,0,39,0,10259,17
14,2022-12-05,128393,2,119475,5697,74,1,38,0,10282,23
15,2022-12-06,128502,3,119524,5697,109,2,49,0,10316,34
16,2022-12-07,128602,4,119574,5697,100,1,50,0,10346,30
17,2022-12-08,128690,2,119602,5697,88,0,28,0,10369,23
18,2022-12-09,128776,1,119634,5697,86,0,32,0,10395,26
19,2022-12-10,128884,1,119674,5697,108,0,40,0,10431,36
20,2022-12-11,128970,2,119704,5697,86,1,30,0,10457,26
21,2022-12-12,129082,2,119750,5697,112,0,46,0,10478,21
22,2022-12-13,129165,1,119781,5697,83,0,31,0,10503,25
23,2022-12-14,129247,1,119826,5697,82,0,45,0,10520,17
24,2022-12-15,129332,1,119857,5698,85,0,31,1,10528,8
25,2022-12-16,129430,4,119883,5698,98,3,26,0,10548,20
26,2022-12-17,129577,6,119916,5698,147,3,33,0,10584,36
27,2022-12-18,129678,5,119964,5698,101,2,48,0,10623,39
28,2022-12-19,129794,4,120017,5699,116,1,53,1,10688,65
29,2022-12-20,129893,1,120066,5699,99,0,49,0,10712,24
30,2022-12-21,129988,3,120146,5699,95,2,80,0,10732,20
31,2022-12-22,130109,3,120188,5699,121,0,42,0,10761,29
32,2022-12-23,130211,8,120249,5699,102,6,61,0,10793,32
33,2022-12-24,130376,10,120362,5699,165,6,113,0,10846,53
34,2022-12-25,130625,3,120438,5699,249,0,76,0,10894,48
35,2022-12-26,130858,6,120491,5699,233,4,53,0,10932,38
36,2022-12-27,131093,3,120583,5699,235,0,92,0,10959,27
37,2022-12-28,131315,3,120640,5699,222,2,57,0,11004,45
38,2022-12-29,131550,2,120701,5699,235,2,61,0,11055,51
39,2022-12-30,131780,2,120748,5699,232,1,47,0,11083,29
40,2022-12-31,132071,1,120817,5699,291,1,69,0,11139,56
41,2022-01-01,132301,1,120884,5699,230,1,67,0,11199,60
42,2022-01-02,132479,0,120936,5699,178,0,52,0,11259,60
43,2022-01-03,132692,3,120987,5699,213,3,51,0,11326,67
44,2022-01-04,132830,1,121052,5699,138,0,65,0,11376,50
45,2022-01-05,133063,2,121252,5699,233,2,200,0,11433,57
46,2022-01-06,133304,7,121354,5699,241,6,102,0,11491,58
47,2022-01-07,133540,1,121505,5699,236,1,151,0,11555,64
48,2022-01-08,133770,2,121653,5699,230,2,148,0,11628,73
49,2022-01-09,134003,3,121839,5699,233,3,186,0,11688,60
50,2022-01-10,134233,1,121989,5699,230,0,150,0,11770,82
51,2022-01-11,134540,1,122200,5699,307,1,211,0,11825,55
52,2022-01-12,134838,9,122418,5699,298,9,218,0,11891,66
53,2022-01-13,135135,13,122659,5700,297,9,241,1,11949,58
54,2022-01-14,135370,9,122816,5700,235,6,157,0,12010,61
55,2022-01-15,135569,14,122952,5700,199,9,136,0,12064,54
56,2022-01-16,135850,8,123169,5700,281,4,217,0,12124,60
57,2022-01-17,136089,8,123327,5700,239,3,158,0,12168,44
58,2022-01-18,136248,11,123520,5700,159,5,193,0,12200,32
59,2022-01-19,136375,10,123771,5700,127,3,251,0,12223,23
60,2022-01-20,136511,5,123989,5700,136,1,218,0,12273,50
