id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,136597,5700,123989,765,31,5,1642608000,222,1,218,0,12,-4,12273,124238,50,86,6908,-82,1
2,oversea,343468711,5589503,275007824,None,None,None,1642608000,4256094,None,1894667,10205,None,None,None,None,None,None,62871384,2351222,None
