id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,130664,5699,120438,504,29,3,1640361600,288,0,80,0,9,0,10894,119731,48,201,4527,173,1
2,oversea,279789291,5409405,250066168,None,None,None,1640361600,805553,None,417739,8131,None,None,None,None,None,None,24313718,379683,None
