id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,129333,5698,119857,459,20,1,1639497600,86,0,31,1,14,-3,10528,118804,8,77,8,77,3778,53,1
2,oversea,272350933,5339947,244678905,None,None,None,1639497600,670274,None,560106,8658,None,None,None,None,None,None,None,None,22332081,101510,None
