id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,83218798,82101,80462439,1526213,96.7%,1230146,1.5%
2,欧洲,79217008,400160,69289513,8454161,87.5%,1473334,1.9%
3,非洲,9129916,40984,8301407,602661,90.9%,225848,2.5%
4,大洋洲,400006,2905,353893,41731,88.5%,4382,1.1%
5,北美洲,61116875,127734,48956578,10941875,80.1%,1218422,2.0%
6,南美洲,39249705,16390,37304008,758229,95.0%,1187468,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
