id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127269,5697,118251,521,14,4,1636819200,70,2,76,0,17,-2,9885,117375,20,41,20,41,3321,3,1
2,oversea,253924471,5110209,229613836,None,None,None,1636819200,412530,None,333749,5518,None,None,None,None,None,None,None,None,19200426,73263,None
