id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,140411,5700,127234,876,51,1,1644076800,403,1,235,0,6,0,12748,127559,34,265,7477,67,1
2,oversea,396300209,5754456,315020507,None,None,None,1644076800,2455794,None,2605337,7995,None,None,None,None,None,None,75525246,-157538,None
