id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,128277,5697,119412,449,19,2,1638460800,136,1,68,0,12,2,10242,118003,15,89,15,89,3168,53,1
2,oversea,265185237,5255450,239013775,None,None,None,1638460800,705818,None,408049,7937,None,None,None,None,None,None,None,None,20916012,289832,None
