id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127687,5697,119120,439,15,2,1637856000,56,0,112,0,7,-1,10111,117561,20,21,20,21,2870,-38,1
2,oversea,260932233,5204284,235762249,None,None,None,1637856000,594184,None,428116,7081,None,None,None,None,None,None,None,None,19965700,158987,None
