id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,134090,5699,121839,699,42,3,1641657600,320,3,186,0,27,1,11688,122315,60,173,6552,47,1
2,oversea,307909482,5501602,259522840,None,None,None,1641657600,2255656,None,697432,4487,None,None,None,None,None,None,42885040,1553737,None
