id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,106053640,627652,98220745,6526388,92.6%,1306507,1.2%
2,欧洲,139544478,1661297,107573824,30321969,77.1%,1648685,1.2%
3,非洲,11275882,44622,10192648,839799,90.4%,243435,2.2%
4,大洋洲,3036535,35205,2737593,292086,90.2%,6856,0.2%
5,北美洲,92385694,233521,60851287,30181078,65.9%,1353329,1.5%
6,南美洲,51208988,267338,43904766,6072991,85.7%,1231231,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
