id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,基里巴斯,2173,222,0,2173,222,0.0%,0,0,0.0%,0,1
2,汤加王国,35,18,2,33,18,5.7%,0,0,0.0%,0,1
3,韩国,1185361,49567,735348,443050,4978,62.0%,44568,6963,0.6%,21,1
4,帕劳共和国,2956,113,1517,1439,20,51.3%,93,0,0.0%,0,1
5,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
6,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
7,萨摩亚独立国,33,0,3,30,0,9.1%,0,0,0.0%,0,1
8,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
9,马尔维纳斯群岛,89,0,68,21,0,76.4%,0,0,0.0%,0,1
10,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
11,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
12,所罗门群岛,3795,349,1025,2730,332,27.0%,14,40,1.1%,3,1
13,莱索托,32350,0,22507,9148,0,69.6%,0,695,2.1%,0,1
14,科摩罗,7978,13,7670,148,13,96.1%,0,160,2.0%,0,1
15,塔吉克斯坦,17361,4,17213,24,0,99.1%,4,124,0.7%,0,1
16,海峡群岛,45578,463,42299,3142,68,92.8%,393,137,0.3%,2,1
17,阿拉伯联合酋长国,862514,1538,791318,68923,-923,91.7%,2457,2273,0.3%,4,1
18,也门,11166,0,7183,1955,0,64.3%,0,2028,18.2%,0,1
19,圣皮埃尔,1002,5,926,75,2,92.4%,3,1,0.1%,0,1
20,圣多美和普林西比,5913,0,5812,30,-7,98.3%,7,71,1.2%,0,1
21,南苏丹,16873,5,13077,3659,5,77.5%,0,137,0.8%,0,1
22,马拉维,84915,32,71355,10980,-115,84.0%,145,2580,3.0%,2,1
23,布隆迪,37756,14,773,36945,14,2.0%,0,38,0.1%,0,1
24,塞拉利昂,7638,0,4393,3120,0,57.5%,0,125,1.6%,0,1
25,博茨瓦纳,257167,0,249082,5492,0,96.9%,0,2593,1.0%,0,1
26,百慕大,11058,0,10628,311,0,96.1%,0,119,1.1%,0,1
27,英属维尔京群岛,5839,0,2649,3139,0,45.4%,0,51,0.9%,0,1
28,安圭拉,2458,0,2435,14,0,99.1%,0,9,0.4%,0,1
29,格林纳达,13041,169,12316,513,-12,94.4%,180,212,1.6%,1,1
30,圣基茨和尼维斯,5492,4,5294,159,-16,96.4%,20,39,0.7%,0,1
31,特克斯和凯科斯群岛,5806,0,5649,122,0,97.3%,0,35,0.6%,0,1
32,几内亚比绍,7813,30,6863,792,5,87.8%,25,158,2.0%,0,1
33,马里,30236,12,27086,2435,-11,89.6%,23,715,2.4%,0,1
34,利比亚,459548,3272,406717,46735,1130,88.5%,2133,6096,1.3%,9,1
35,老挝,137557,454,7660,129314,448,5.6%,0,583,0.4%,6,1
36,伯利兹,54758,337,48948,5179,-510,89.4%,846,631,1.2%,1,1
37,缅甸,540597,1145,514607,6680,934,95.2%,211,19310,3.6%,0,1
38,多米尼克,10073,351,9096,924,-81,90.3%,430,53,0.5%,2,1
39,莫桑比克,224494,87,217675,4633,-27,97.0%,112,2186,1.0%,2,1
40,叙利亚,52243,114,41577,7649,-224,79.6%,335,3017,5.8%,3,1
41,马恩岛,22014,65,21638,303,65,98.3%,0,73,0.3%,0,1
42,巴布亚新几内亚,37983,195,36163,1223,82,95.2%,113,597,1.6%,0,1
43,厄立特里亚,9652,0,9411,139,0,97.5%,0,102,1.1%,0,1
44,乌干达,162443,68,99487,59391,48,61.2%,18,3565,2.2%,2,1
45,安哥拉,98453,15,96140,417,-20,97.7%,35,1896,1.9%,0,1
46,东帝汶,20942,194,19819,1001,165,94.6%,29,122,0.6%,0,1
47,新喀里多尼亚,32895,1914,19266,13345,1493,58.6%,421,284,0.9%,0,1
48,马达加斯加,61434,0,54687,5440,0,89.0%,0,1307,2.1%,0,1
49,津巴布韦,230740,137,221983,3390,-73,96.2%,209,5367,2.3%,1,1
50,佛得角,55820,9,55276,146,-16,99.0%,25,398,0.7%,0,1
51,蒙特塞拉特,163,0,161,0,-1,98.8%,0,2,1.2%,1,1
52,海地,29888,47,24986,4096,18,83.6%,27,806,2.7%,2,1
53,尼日尔,8700,5,8223,174,-16,94.5%,21,303,3.5%,0,1
54,乍得,7214,0,4874,2150,0,67.6%,0,190,2.6%,0,1
55,萨尔瓦多,135109,0,120327,10815,-8,89.1%,0,3967,2.9%,8,1
56,尼加拉瓜,17791,82,4225,13348,81,23.7%,0,218,1.2%,1,1
57,斐济,63398,42,61470,1112,-494,97.0%,533,816,1.3%,3,1
58,毛里求斯,27191,326,25684,745,326,94.5%,0,762,2.8%,0,1
59,赞比亚,308050,414,301243,2873,290,97.8%,123,3934,1.3%,1,1
60,吉布提,15527,0,15307,31,0,98.6%,0,189,1.2%,0,1
61,吉尔吉斯斯坦,199714,97,191679,5122,-189,96.0%,282,2913,1.5%,4,1
62,巴巴多斯,49958,714,36837,12832,241,73.7%,471,289,0.6%,2,1
63,黑山,224793,425,218287,3884,-195,97.1%,611,2622,1.2%,9,1
64,冈比亚,11911,0,11461,85,0,96.2%,0,365,3.1%,0,1
65,格陵兰岛,10821,0,2761,8054,0,25.5%,0,6,0.1%,0,1
66,贝宁,26498,0,25506,829,0,96.3%,0,163,0.6%,0,1
67,索马里,26203,0,13182,11681,0,50.3%,0,1340,5.1%,0,1
68,坦桑尼亚,33436,0,183,32461,0,0.5%,0,792,2.4%,0,1
69,利比里亚,7346,0,5747,1309,0,78.2%,0,290,3.9%,0,1
70,圭亚那合作共和国,61901,118,57309,3404,-1197,92.6%,1312,1188,1.9%,3,1
71,马约特,36556,0,2964,33405,0,8.1%,0,187,0.5%,0,1
72,巴哈马,32833,31,25181,6899,-26,76.7%,57,753,2.3%,0,1
73,乌兹别克斯坦,231179,778,213736,15851,161,92.5%,613,1592,0.7%,4,1
74,瓜德罗普,119534,0,2250,116476,0,1.9%,0,808,0.7%,0,1
75,开曼群岛,15934,0,8553,7365,0,53.7%,0,16,0.1%,0,1
76,刚果（布）,23854,0,20178,3301,0,84.6%,0,375,1.6%,0,1
77,中非共和国,14110,0,6859,7141,0,48.6%,0,110,0.8%,0,1
78,塞舌尔,38120,0,36737,1226,0,96.4%,0,157,0.4%,0,1
79,赤道几内亚,15850,0,15539,129,0,98.0%,0,182,1.1%,0,1
80,纳米比亚,156519,0,150383,2152,0,96.1%,0,3984,2.5%,0,1
81,卢旺达,129210,20,45522,82239,20,35.2%,0,1449,1.1%,0,1
82,斯威士兰,68702,82,67060,261,52,97.6%,28,1381,2.0%,2,1
83,毛里塔尼亚,58527,18,56982,574,-125,97.4%,143,971,1.7%,0,1
