id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,基里巴斯,2451,81,219,2229,-95,8.9%,173,3,0.1%,3,1
2,汤加王国,66,0,2,64,0,3.0%,0,0,0.0%,0,1
3,韩国,1294205,53926,770673,516487,34531,59.5%,19346,7045,0.5%,49,1
4,帕劳共和国,3133,74,1757,1375,-53,56.1%,126,1,0.0%,1,1
5,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
6,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
7,萨摩亚独立国,33,0,3,30,0,9.1%,0,0,0.0%,0,1
8,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
9,马尔维纳斯群岛,89,0,68,21,0,76.4%,0,0,0.0%,0,1
10,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
11,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
12,所罗门群岛,4302,408,1100,3149,369,25.6%,29,53,1.2%,10,1
13,莱索托,32372,22,22812,8864,-284,70.5%,305,696,2.2%,1,1
14,科摩罗,7998,9,7680,158,1,96.0%,8,160,2.0%,0,1
15,塔吉克斯坦,17369,6,17230,15,1,99.2%,5,124,0.7%,0,1
16,海峡群岛,46366,440,43091,3138,61,92.9%,379,137,0.3%,0,1
17,阿拉伯联合酋长国,865576,1474,796040,67253,-952,92.0%,2421,2283,0.3%,5,1
18,也门,11659,0,8433,1126,0,72.3%,0,2100,18.0%,0,1
19,圣皮埃尔,1020,7,963,56,-18,94.4%,25,1,0.1%,0,1
20,圣多美和普林西比,5919,3,5824,24,-9,98.4%,12,71,1.2%,0,1
21,南苏丹,16880,7,13077,3666,7,77.5%,0,137,0.8%,0,1
22,马拉维,84974,21,72138,10245,-167,84.9%,182,2591,3.0%,6,1
23,布隆迪,37856,60,773,37045,60,2.0%,0,38,0.1%,0,1
24,塞拉利昂,7648,10,4393,3130,10,57.4%,0,125,1.6%,0,1
25,博茨瓦纳,259655,2488,253846,3212,-2280,97.8%,4764,2597,1.0%,4,1
26,百慕大,11146,88,10754,272,-39,96.5%,126,120,1.1%,1,1
27,英属维尔京群岛,5997,89,2649,3287,82,44.2%,0,61,1.0%,7,1
28,安圭拉,2458,0,2435,14,0,99.1%,0,9,0.4%,0,1
29,格林纳达,13172,0,12503,456,0,94.9%,0,213,1.6%,0,1
30,圣基茨和尼维斯,5497,3,5369,89,-37,97.7%,40,39,0.7%,0,1
31,特克斯和凯科斯群岛,5813,0,5650,128,0,97.2%,0,35,0.6%,0,1
32,几内亚比绍,7820,7,6873,789,-3,87.9%,10,158,2.0%,0,1
33,马里,30257,15,27150,2391,-9,89.7%,24,716,2.4%,0,1
34,利比亚,466666,3345,412870,47683,185,88.5%,3154,6113,1.3%,6,1
35,老挝,138765,424,7660,130514,420,5.5%,0,591,0.4%,4,1
36,伯利兹,55183,215,50248,4304,-462,91.1%,677,631,1.1%,0,1
37,缅甸,543511,1607,515816,8385,624,94.9%,983,19310,3.6%,0,1
38,多米尼克,10414,121,9254,1107,99,88.9%,22,53,0.5%,0,1
39,莫桑比克,224603,65,218211,4204,-213,97.2%,276,2188,1.0%,2,1
40,叙利亚,52504,135,42282,7199,-218,80.5%,350,3023,5.8%,3,1
41,马恩岛,22091,38,21754,260,-32,98.5%,66,77,0.3%,4,1
42,巴布亚新几内亚,38481,0,38481,-610,0,100.0%,0,610,1.6%,0,1
43,厄立特里亚,9662,10,9454,106,-33,97.8%,43,102,1.1%,0,1
44,乌干达,162572,129,99537,59465,74,61.2%,50,3570,2.2%,5,1
45,安哥拉,98501,21,96205,398,-2,97.7%,22,1898,1.9%,1,1
46,东帝汶,21401,243,19986,1292,84,93.4%,158,123,0.6%,1,1
47,新喀里多尼亚,35043,1047,21273,13486,-755,60.7%,1802,284,0.8%,0,1
48,马达加斯加,61434,0,54687,5440,0,89.0%,0,1307,2.1%,0,1
49,津巴布韦,231214,160,222732,3108,-72,96.3%,226,5374,2.3%,6,1
50,佛得角,55833,7,55328,107,-36,99.1%,43,398,0.7%,0,1
51,蒙特塞拉特,163,0,161,0,0,98.8%,0,2,1.2%,0,1
52,海地,29939,19,25033,4099,7,83.6%,11,807,2.7%,1,1
53,尼日尔,8707,3,8341,63,-3,95.8%,6,303,3.5%,0,1
54,乍得,7214,0,4874,2150,0,67.6%,0,190,2.6%,0,1
55,萨尔瓦多,135109,0,120327,10800,-8,89.1%,0,3982,2.9%,8,1
56,尼加拉瓜,17791,0,4225,13348,0,23.7%,0,218,1.2%,0,1
57,斐济,63476,78,61593,1064,-48,97.0%,123,819,1.3%,3,1
58,毛里求斯,27650,54,25684,1204,54,92.9%,0,762,2.8%,0,1
59,赞比亚,309293,0,302320,3036,0,97.7%,0,3937,1.3%,0,1
60,吉布提,15530,2,15334,7,-8,98.7%,10,189,1.2%,0,1
61,吉尔吉斯斯坦,199971,69,192497,4550,-208,96.3%,274,2924,1.5%,3,1
62,巴巴多斯,50880,519,41371,9218,-840,81.3%,1357,291,0.6%,2,1
63,黑山,225740,0,219497,3611,0,97.2%,0,2632,1.2%,0,1
64,冈比亚,11911,0,11461,85,0,96.2%,0,365,3.1%,0,1
65,格陵兰岛,11409,512,2761,8641,511,24.2%,0,7,0.1%,1,1
66,贝宁,26552,0,25506,883,0,96.1%,0,163,0.6%,0,1
67,索马里,26203,0,13182,11681,0,50.3%,0,1340,5.1%,0,1
68,坦桑尼亚,33436,0,183,32461,0,0.5%,0,792,2.4%,0,1
69,利比里亚,7358,12,5747,1321,12,78.1%,0,290,3.9%,0,1
70,圭亚那合作共和国,62156,160,58930,2036,-260,94.8%,420,1190,1.9%,0,1
71,马约特,36572,0,2964,33421,0,8.1%,0,187,0.5%,0,1
72,巴哈马,32903,38,25399,6747,-84,77.2%,119,757,2.3%,3,1
73,乌兹别克斯坦,233000,625,216153,15248,-206,92.8%,829,1599,0.7%,2,1
74,瓜德罗普,119534,0,2250,116476,0,1.9%,0,808,0.7%,0,1
75,开曼群岛,17687,1753,8553,9118,1753,48.4%,0,16,0.1%,0,1
76,刚果（布）,23860,6,20178,3307,6,84.6%,0,375,1.6%,0,1
77,中非共和国,14154,0,6859,7184,0,48.5%,0,111,0.8%,0,1
78,塞舌尔,38120,0,36737,1226,0,96.4%,0,157,0.4%,0,1
79,赤道几内亚,15853,3,15546,125,-4,98.1%,7,182,1.1%,0,1
80,纳米比亚,156604,44,151925,688,-706,97.0%,746,3991,2.5%,4,1
81,卢旺达,129278,24,45522,82307,24,35.2%,0,1449,1.1%,0,1
82,斯威士兰,68762,25,67141,239,0,97.6%,25,1382,2.0%,0,1
83,毛里塔尼亚,58557,15,57181,405,-102,97.7%,117,971,1.7%,0,1
84,阿鲁巴,33455,30,33119,140,11,99.0%,19,196,0.6%,0,1
85,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
86,苏里南,76876,205,49312,26266,199,64.1%,3,1298,1.7%,3,1
87,库拉索,38267,99,36872,1142,-12,96.4%,110,253,0.7%,1,1
88,圣卢西亚,21932,42,20081,1504,-151,91.6%,189,347,1.6%,4,1
89,圣文森特和格林纳丁斯,6721,6,6495,125,-7,96.6%,13,101,1.5%,0,1
90,安提瓜和巴布达,7331,468,6616,581,249,90.2%,216,134,1.8%,3,1
91,危地马拉,729977,4899,664112,49254,2203,91.0%,2661,16611,2.3%,35,1
92,乌拉圭,765960,8812,703589,55642,-1496,91.9%,10294,6729,0.9%,14,1
93,委内瑞拉,503162,1041,483136,14497,-813,96.0%,1844,5529,1.1%,10,1
94,苏丹,59525,110,40329,15432,104,67.8%,0,3764,6.3%,6,1
95,几内亚,36329,15,32684,3209,-9,90.0%,22,436,1.2%,2,1
96,埃塞俄比亚,467288,152,408735,51136,-3264,87.5%,3406,7417,1.6%,10,1
97,哈萨克斯坦,1287952,2498,1212902,61617,-5384,94.2%,7866,13433,1.0%,16,1
98,肯尼亚,322388,60,302647,14115,-3767,93.9%,3823,5626,1.7%,4,1
99,特立尼达和多巴哥,119226,738,93717,22002,-1571,78.6%,2303,3507,2.9%,6,1
100,加蓬,47399,0,43508,3589,0,91.8%,0,302,0.6%,0,1
101,加纳,157751,0,155322,1010,0,98.5%,0,1419,0.9%,0,1
102,法属波利尼西亚,53853,0,33500,19716,0,62.2%,0,637,1.2%,0,1
103,古巴,1058946,951,1045059,5427,-548,98.7%,1495,8460,0.8%,4,1
104,留尼汪岛,256787,0,216172,40050,0,84.2%,0,565,0.2%,0,1
105,科特迪瓦,81109,35,78866,1454,-31,97.2%,64,789,1.0%,2,1
106,洪都拉斯,402329,0,127289,264481,0,31.6%,0,10559,2.6%,0,1
107,玻利维亚,880891,0,743773,115878,0,84.4%,0,21240,2.4%,0,1
108,圣马丁岛,9475,20,9148,244,-21,96.5%,41,83,0.9%,0,1
109,圣巴泰勒米岛,3687,252,462,3219,252,12.5%,0,6,0.2%,0,1
110,牙买加,126732,152,72574,51438,-92,57.3%,242,2720,2.1%,2,1
111,土耳其,12748341,98602,11841675,816672,10406,92.9%,87932,89994,0.7%,264,1
112,刚果（金）,85776,35,50930,33530,35,59.4%,0,1316,1.5%,0,1
113,巴拿马,739770,2424,703588,28256,-798,95.1%,3211,7926,1.1%,11,1
114,蒙古国,455420,1297,313256,140020,1295,68.8%,0,2144,0.5%,2,1
115,布基纳法索,20705,3,20279,51,-12,97.9%,15,375,1.8%,0,1
116,塞浦路斯,285943,2815,124370,160793,2814,43.5%,0,780,0.3%,1,1
117,文莱,21579,981,16891,4590,785,78.3%,196,98,0.5%,0,1
118,马提尼克,101298,0,104,100340,0,0.1%,0,854,0.8%,0,1
119,法属圭亚那,77164,86,11254,65526,85,14.6%,0,384,0.5%,1,1
120,法罗群岛,27701,0,7693,19986,0,27.8%,0,22,0.1%,0,1
121,阿尔巴尼亚,267551,604,254315,9829,-904,95.1%,1505,3407,1.3%,3,1
122,孟加拉国,1899803,5268,1655981,215051,-6112,87.2%,11353,28771,1.5%,27,1
123,保加利亚,1031660,6278,736712,260634,-443,71.4%,6645,34314,3.3%,76,1
124,摩尔多瓦,480289,2871,428987,40409,-2089,89.3%,4931,10893,2.3%,29,1
125,马尔代夫,156903,1406,140376,16240,114,89.5%,1292,287,0.2%,0,1
126,巴拉圭,620708,2904,561785,41079,-3141,90.5%,5995,17844,2.9%,50,1
127,马耳他,69794,143,66931,2284,-69,95.9%,209,579,0.8%,3,1
128,哥斯达黎加,757093,5656,591090,158231,3664,78.1%,1970,7772,1.0%,22,1
129,哥伦比亚,6007991,8269,5815318,55909,-4208,96.8%,12298,136764,2.3%,179,1
130,多哥,36634,10,34635,1729,-101,94.5%,111,270,0.7%,0,1
131,秘鲁,3424894,0,1720665,1496264,0,50.2%,0,207965,6.1%,0,1
132,斯洛伐克,1226925,20051,968999,239845,5741,79.0%,14286,18081,1.5%,24,1
133,喀麦隆,118675,0,106050,10710,0,89.4%,0,1915,1.6%,0,1
134,梵蒂冈,29,0,28,1,0,96.6%,0,0,0.0%,0,1
135,塞尔维亚,1826787,11121,1545712,266776,-1043,84.6%,12101,14299,0.8%,63,1
136,直布罗陀,14284,0,13060,1123,0,91.4%,0,101,0.7%,0,1
137,不丹,6964,185,4681,2278,66,67.2%,119,5,0.1%,0,1
138,列支敦士登,10451,97,9789,588,-34,93.7%,131,74,0.7%,0,1
