id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,107267720,586361,99402457,6554382,92.7%,1310881,1.2%
2,欧洲,142852081,1599451,111224551,29969472,77.9%,1658058,1.2%
3,非洲,11311671,18105,10251565,815903,90.6%,244203,2.2%
4,大洋洲,3099329,35301,2843424,248893,91.7%,7012,0.2%
5,北美洲,92917309,294705,61392686,30163208,66.1%,1361415,1.5%
6,南美洲,51755635,303988,44329118,6191259,85.7%,1235258,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
