id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,96323571,860779,88791574,6254902,92.2%,1277095,1.3%
2,欧洲,117233770,1627169,88680604,26952446,75.6%,1600720,1.4%
3,非洲,10849232,20279,9614912,996717,88.6%,237603,2.2%
4,大洋洲,2523663,47414,1421037,1096957,56.3%,5669,0.2%
5,北美洲,85977100,1107887,55549361,29126000,64.6%,1301739,1.5%
6,南美洲,46523429,279993,40663181,4653163,87.4%,1207085,2.6%
7,其他,712,0,699,0,98.2%,13,1.8%
