id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,库克群岛,8,0,0,8,0,0.0%,0,0,0.0%,0,1
2,基里巴斯,2892,16,1826,1055,-67,63.1%,83,11,0.4%,0,1
3,汤加王国,289,55,38,251,55,13.1%,0,0,0.0%,0,1
4,韩国,2665077,170006,969524,1687770,169924,36.4%,0,7783,0.3%,82,1
5,帕劳共和国,3696,29,2876,814,-27,77.8%,56,6,0.2%,0,1
6,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
7,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
8,萨摩亚独立国,33,0,3,30,0,9.1%,0,0,0.0%,0,1
9,瓦努阿图共和国,18,3,6,11,3,33.3%,0,1,5.6%,0,1
10,马尔维纳斯群岛,89,0,68,21,0,76.4%,0,0,0.0%,0,1
11,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
12,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
13,所罗门群岛,6654,380,1658,4904,301,24.9%,77,92,1.4%,2,1
14,莱索托,32599,0,23330,8573,0,71.6%,0,696,2.1%,0,1
15,科摩罗,8026,2,7846,20,-19,97.8%,21,160,2.0%,0,1
16,塔吉克斯坦,17388,0,17263,1,-11,99.3%,11,124,0.7%,0,1
17,海峡群岛,50207,187,47443,2621,-129,94.5%,315,143,0.3%,1,1
18,阿拉伯联合酋长国,877406,782,827067,48040,-1315,94.3%,2096,2299,0.3%,1,1
19,也门,11751,0,8582,1039,0,73.0%,0,2130,18.1%,0,1
20,圣皮埃尔,1070,0,1049,20,0,98.0%,0,1,0.1%,0,1
21,圣多美和普林西比,5932,0,5850,10,0,98.6%,0,72,1.2%,0,1
22,南苏丹,16950,6,13250,3563,6,78.2%,0,137,0.8%,0,1
23,马拉维,85276,19,75227,7437,-44,88.2%,62,2612,3.1%,1,1
24,布隆迪,38047,9,773,37236,9,2.0%,0,38,0.1%,0,1
25,塞拉利昂,7665,0,4393,3147,0,57.3%,0,125,1.6%,0,1
26,博茨瓦纳,262652,0,256886,3152,0,97.8%,0,2614,1.0%,0,1
27,百慕大,11490,0,11150,217,0,97.0%,0,123,1.1%,0,1
28,英属维尔京群岛,6074,24,2649,3363,24,43.6%,0,62,1.0%,0,1
29,安圭拉,2528,22,2506,13,-8,99.1%,30,9,0.4%,0,1
30,格林纳达,13598,33,13197,187,20,97.1%,13,214,1.6%,0,1
31,圣基茨和尼维斯,5525,1,5467,16,-3,99.0%,4,42,0.8%,0,1
32,特克斯和凯科斯群岛,5855,7,5783,36,-3,98.8%,10,36,0.6%,0,1
33,几内亚比绍,7985,19,6977,842,15,87.4%,4,166,2.1%,0,1
34,马里,30358,3,29297,339,-381,96.5%,384,722,2.4%,0,1
35,利比亚,491216,1276,454458,30526,-2318,92.5%,3584,6232,1.3%,10,1
36,老挝,142237,239,7660,133958,238,5.4%,0,619,0.4%,1,1
37,伯利兹,56525,76,54233,1644,-114,95.9%,189,648,1.1%,1,1
38,缅甸,578446,0,528717,30376,0,91.4%,0,19353,3.3%,0,1
39,多米尼克,11016,38,10563,396,-47,95.9%,85,57,0.5%,0,1
40,莫桑比克,224999,46,219297,3510,-71,97.5%,116,2192,1.0%,1,1
41,叙利亚,54160,128,46303,4795,-95,85.5%,220,3062,5.7%,3,1
