id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127377,5697,118452,494,27,3,1637078400,46,0,61,0,16,-2,9948,117426,29,14,29,14,3228,-17,1
2,oversea,255653212,5134587,231063426,None,None,None,1637078400,549256,None,460470,8081,None,None,None,None,None,None,None,None,19455199,80705,None
