id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,83309454,63835,80536749,1541415,96.7%,1231290,1.5%
2,欧洲,79650261,416906,69619239,8553584,87.4%,1477438,1.9%
3,非洲,9174369,46102,8311598,636781,90.6%,225990,2.5%
4,大洋洲,403937,3540,360106,39440,89.1%,4391,1.1%
5,北美洲,61273247,166678,49027452,11026016,80.0%,1219779,2.0%
6,南美洲,39269716,17241,37313957,767857,95.0%,1187902,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
