id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,129432,5698,119883,471,23,4,1639584000,100,3,26,0,10,-4,10548,118882,20,78,20,78,3851,72,1
2,oversea,273100339,5347347,245179745,None,None,None,1639584000,712810,None,558809,8099,None,None,None,None,None,None,None,None,22573247,145902,None
