id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,129202,5697,119790,445,15,1,1639324800,120,0,49,0,22,-5,10503,118662,25,58,25,58,3715,52,1
2,oversea,271077035,5326027,243773262,None,None,None,1639324800,496991,None,440331,4623,None,None,None,None,None,None,None,None,21977746,52037,None
