id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,338552,7496,139056,2024,442,13,1646496000,19327,4,806,233,11,-3,15456,323040,113,19158,192000,18232,1
2,oversea,446207968,6013966,379867039,None,None,None,1646496000,1381494,None,1573203,5083,None,None,None,None,None,None,60326963,-196792,None
