id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127578,5697,118912,489,16,1,1637596800,41,0,109,0,7,-1,10060,117512,18,17,18,17,2969,-37,1
2,oversea,259108330,5181593,234451053,None,None,None,1637596800,609016,None,509764,7639,None,None,None,None,None,None,None,None,19475684,91613,None
