id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,87092106,386363,82788311,3045121,95.1%,1258674,1.4%
2,欧洲,97247038,891386,78250700,17442411,80.5%,1553927,1.6%
3,非洲,10240391,27440,9036525,971565,88.2%,232301,2.3%
4,大洋洲,1305401,72671,525854,774852,40.3%,4695,0.4%
5,北美洲,73698746,365857,51672225,20764933,70.1%,1261588,1.7%
6,南美洲,41314420,150656,38152803,1966644,92.3%,1194973,2.9%
7,其他,712,0,699,0,98.2%,13,1.8%
