id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,基里巴斯,266,20,0,266,20,0.0%,0,0,0.0%,0,1
2,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
3,韩国,811122,16085,618561,185849,12089,76.3%,3972,6712,0.8%,24,1
4,帕劳共和国,1393,371,126,1267,371,9.0%,0,0,0.0%,0,1
5,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
6,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
7,萨摩亚独立国,27,0,3,24,0,11.1%,0,0,0.0%,0,1
8,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
9,马尔维纳斯群岛,85,0,68,17,0,80.0%,0,0,0.0%,0,1
10,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
11,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
12,所罗门群岛,898,143,25,868,138,2.8%,5,5,0.6%,0,1
13,莱索托,32176,0,21484,9999,0,66.8%,0,693,2.2%,0,1
14,科摩罗,7829,3,7630,39,-3,97.5%,6,160,2.0%,0,1
15,塔吉克斯坦,17283,24,17078,81,1,98.8%,23,124,0.7%,0,1
16,海峡群岛,40947,442,38082,2735,383,93.0%,59,130,0.3%,0,1
17,阿拉伯联合酋长国,838384,2545,774043,62107,1223,92.3%,1320,2234,0.3%,2,1
18,也门,10878,36,7090,1782,31,65.2%,4,2006,18.4%,1,1
19,圣皮埃尔,856,26,658,198,-10,76.9%,36,0,0.0%,0,1
20,圣多美和普林西比,5873,17,5426,378,-32,92.4%,49,69,1.2%,0,1
21,南苏丹,16775,15,13074,3564,15,77.9%,0,137,0.8%,0,1
22,马拉维,84309,119,69035,12721,-184,81.9%,296,2553,3.0%,7,1
23,布隆迪,37299,95,773,36488,95,2.1%,0,38,0.1%,0,1
24,塞拉利昂,7612,4,4393,3094,4,57.7%,0,125,1.6%,0,1
25,博茨瓦纳,250746,4842,243325,4841,-3282,97.0%,8109,2580,1.0%,15,1
26,百慕大,10552,290,9032,1404,-315,85.6%,603,116,1.1%,2,1
27,英属维尔京群岛,5809,0,2649,3111,0,45.6%,0,49,0.8%,0,1
28,安圭拉,2324,0,2258,58,0,97.2%,0,8,0.3%,0,1
29,格林纳达,12246,274,10193,1843,-216,83.2%,487,210,1.7%,3,1
30,圣基茨和尼维斯,5403,0,4916,454,0,91.0%,0,33,0.6%,0,1
31,特克斯和凯科斯群岛,5692,19,5446,212,-23,95.7%,42,34,0.6%,0,1
32,几内亚比绍,7544,11,6556,834,-24,86.9%,35,154,2.0%,0,1
33,马里,29983,54,25707,3565,-5,85.7%,58,711,2.4%,1,1
34,利比亚,419543,3320,390934,22616,2579,93.2%,727,5993,1.4%,14,1
35,老挝,133218,551,7660,125020,547,5.7%,0,538,0.4%,4,1
36,伯利兹,50487,735,40691,9171,-133,80.6%,868,625,1.2%,0,1
37,缅甸,534908,0,512900,2698,0,95.9%,0,19310,3.6%,0,1
38,多米尼克,8838,0,8058,729,0,91.2%,0,51,0.6%,0,1
39,莫桑比克,223612,301,209396,12051,-354,93.6%,654,2165,1.0%,1,1
40,叙利亚,51230,53,37712,10536,-259,73.6%,310,2982,5.8%,2,1
41,马恩岛,21376,92,20728,578,-42,97.0%,134,70,0.3%,0,1
42,巴布亚新几内亚,36866,270,35877,392,246,97.3%,24,597,1.6%,0,1
43,厄立特里亚,9489,28,9073,319,-64,95.6%,91,97,1.0%,1,1
44,乌干达,161354,162,99195,58642,139,61.5%,16,3517,2.2%,7,1
45,安哥拉,98029,89,93647,2489,-1355,95.5%,1443,1893,1.9%,1,1
46,东帝汶,19908,0,19743,43,0,99.2%,0,122,0.6%,0,1
47,新喀里多尼亚,18643,740,13737,4623,429,73.7%,311,283,1.5%,0,1
48,马达加斯加,57375,0,52012,4140,0,90.7%,0,1223,2.1%,0,1
49,津巴布韦,229333,153,217355,6645,-521,94.8%,671,5333,2.3%,3,1
50,佛得角,55635,52,54579,661,-89,98.1%,141,395,0.7%,0,1
51,蒙特塞拉特,162,0,154,7,0,95.1%,0,1,0.6%,0,1
52,海地,28875,314,24410,3681,203,84.5%,110,784,2.7%,1,1
53,尼日尔,8640,16,7866,476,-53,91.0%,69,298,3.4%,0,1
54,乍得,7073,0,4874,2009,0,68.9%,0,190,2.7%,0,1
55,萨尔瓦多,133262,0,119873,9505,-11,90.0%,0,3884,2.9%,11,1
56,尼加拉瓜,17650,0,4225,13209,0,23.9%,0,216,1.2%,0,1
57,斐济,62373,170,59937,1638,-1118,96.1%,1281,798,1.3%,7,1
58,毛里求斯,25803,233,24775,266,145,96.0%,88,762,3.0%,0,1
59,赞比亚,304353,351,295937,4506,-787,97.2%,1135,3910,1.3%,3,1
60,吉布提,15429,15,15107,133,-35,97.9%,50,189,1.2%,0,1
61,吉尔吉斯斯坦,197437,356,185771,8799,-253,94.1%,604,2867,1.5%,5,1
62,巴巴多斯,42851,767,33682,8892,525,78.6%,242,277,0.6%,0,1
63,黑山,217752,0,208123,7083,0,95.6%,0,2546,1.2%,0,1
64,冈比亚,11572,0,10156,1069,0,87.8%,0,347,3.0%,0,1
65,格陵兰岛,10533,376,2761,7767,375,26.2%,0,5,0.0%,1,1
66,贝宁,26450,0,25506,781,0,96.4%,0,163,0.6%,0,1
67,索马里,25388,0,13182,10871,0,51.9%,0,1335,5.3%,0,1
68,坦桑尼亚,32920,0,183,31959,0,0.6%,0,778,2.4%,0,1
69,利比里亚,7254,0,5747,1217,0,79.2%,0,290,4.0%,0,1
70,圭亚那合作共和国,58604,408,45440,12008,-939,77.5%,1345,1156,2.0%,2,1
71,马约特,36282,59,2964,33131,59,8.2%,0,187,0.5%,0,1
72,巴哈马,32419,94,24289,7391,-40,74.9%,130,739,2.3%,4,1
73,乌兹别克斯坦,220815,1186,209780,9477,-216,95.0%,1399,1558,0.7%,3,1
74,瓜德罗普,105319,0,2250,102296,0,2.1%,0,773,0.7%,0,1
75,开曼群岛,13788,0,8553,5220,0,62.0%,0,15,0.1%,0,1
76,刚果（布）,23653,168,19298,3984,168,81.6%,0,371,1.6%,0,1
77,中非共和国,13898,58,6859,6929,57,49.4%,0,110,0.8%,1,1
78,塞舌尔,36559,2192,32811,3599,-1661,89.7%,3847,149,0.4%,6,1
79,赤道几内亚,15802,0,15200,420,0,96.2%,0,182,1.2%,0,1
80,纳米比亚,155722,99,145552,6208,-143,93.5%,227,3962,2.5%,15,1
81,卢旺达,128708,120,45522,81748,118,35.4%,0,1438,1.1%,2,1
82,斯威士兰,68301,34,66653,275,3,97.6%,29,1373,2.0%,2,1
83,毛里塔尼亚,58041,125,53490,3606,-744,92.2%,866,945,1.6%,3,1
84,阿鲁巴,32808,156,32198,417,54,98.1%,102,193,0.6%,0,1
85,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
86,苏里南,72943,460,49244,22442,455,67.5%,1,1257,1.7%,4,1
87,库拉索,36875,128,34128,2520,-339,92.6%,464,227,0.6%,3,1
