id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,87563764,387706,83016252,3287291,94.8%,1260221,1.4%
2,欧洲,98575983,906550,78824628,18193485,80.0%,1557870,1.6%
3,非洲,10296291,31007,9070418,993229,88.1%,232644,2.3%
4,大洋洲,1410929,91711,525974,880211,37.3%,4744,0.3%
5,北美洲,74518647,1491968,51869045,21385149,69.6%,1264453,1.7%
6,南美洲,41586778,205076,38221764,2169712,91.9%,1195302,2.9%
7,其他,712,0,699,0,98.2%,13,1.8%
