id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,134540,5699,122200,724,32,1,1641830400,307,1,211,0,14,-7,11825,122715,55,252,6641,96,1
2,oversea,314038258,5515742,261655316,None,None,None,1641830400,3144576,None,1126849,7259,None,None,None,None,None,None,46867200,2010468,None
