id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,基里巴斯,913,138,0,913,138,0.0%,0,0,0.0%,0,1
2,汤加王国,5,0,1,4,0,20.0%,0,0,0.0%,0,1
3,韩国,907214,20268,637160,263242,16680,70.2%,3573,6812,0.8%,15,1
4,帕劳共和国,1940,0,755,1185,0,38.9%,0,0,0.0%,0,1
5,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
6,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
7,萨摩亚独立国,33,3,3,30,3,9.1%,0,0,0.0%,0,1
8,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
9,马尔维纳斯群岛,89,0,68,21,0,76.4%,0,0,0.0%,0,1
10,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
11,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
12,所罗门群岛,2167,681,25,2127,678,1.2%,0,15,0.7%,3,1
13,莱索托,32258,82,22054,9510,-489,68.4%,570,694,2.2%,1,1
14,科摩罗,7844,1,7658,26,-4,97.6%,5,160,2.0%,0,1
15,塔吉克斯坦,17331,8,17168,39,-53,99.1%,61,124,0.7%,0,1
16,海峡群岛,43032,415,39417,3482,153,91.6%,260,133,0.3%,2,1
17,阿拉伯联合酋长国,849305,2163,779466,67588,857,91.8%,1303,2251,0.3%,3,1
18,也门,11045,0,7130,1897,0,64.6%,0,2018,18.3%,0,1
19,圣皮埃尔,946,43,811,135,2,85.7%,41,0,0.0%,0,1
20,圣多美和普林西比,5903,9,5709,124,-124,96.7%,132,70,1.2%,1,1
21,南苏丹,16810,16,13077,3596,16,77.8%,0,137,0.8%,0,1
22,马拉维,84632,97,69883,12185,-47,82.6%,142,2564,3.0%,2,1
23,布隆迪,37432,0,773,36621,0,2.1%,0,38,0.1%,0,1
24,塞拉利昂,7625,0,4393,3107,0,57.6%,0,125,1.6%,0,1
25,博茨瓦纳,253036,0,243798,6657,0,96.3%,0,2581,1.0%,0,1
26,百慕大,10793,0,9751,925,0,90.3%,0,117,1.1%,0,1
27,英属维尔京群岛,5839,0,2649,3141,0,45.4%,0,49,0.8%,0,1
28,安圭拉,2361,37,2308,45,-13,97.8%,50,8,0.3%,0,1
29,格林纳达,12589,162,11236,1142,-68,89.3%,230,211,1.7%,0,1
30,圣基茨和尼维斯,5453,24,5144,272,-113,94.3%,133,37,0.7%,4,1
31,特克斯和凯科斯群岛,5770,18,5490,246,-1,95.1%,19,34,0.6%,0,1
32,几内亚比绍,7691,0,6702,833,0,87.1%,0,156,2.0%,0,1
33,马里,30131,49,26540,2876,29079,88.1%,0,715,2.4%,0,1
34,利比亚,438303,4371,394412,37856,3250,90.0%,1114,6035,1.4%,7,1
35,老挝,134901,463,7660,126688,461,5.7%,0,553,0.4%,2,1
36,伯利兹,52775,1517,44161,7985,-1028,83.7%,2541,629,1.2%,4,1
37,缅甸,536536,861,513557,3669,718,95.7%,143,19310,3.6%,0,1
38,多米尼克,9387,355,8526,810,-57,90.8%,412,51,0.5%,0,1
39,莫桑比克,224043,122,215446,6417,-1928,96.2%,2049,2180,1.0%,1,1
40,叙利亚,51569,81,39263,9311,-242,76.1%,320,2995,5.8%,3,1
41,马恩岛,21745,98,21124,551,0,97.1%,98,70,0.3%,0,1
42,巴布亚新几内亚,37390,0,35938,855,0,96.1%,0,597,1.6%,0,1
43,厄立特里亚,9580,23,9299,182,-27,97.1%,49,99,1.0%,1,1
44,乌干达,161940,78,99329,59071,39,61.3%,32,3540,2.2%,7,1
45,安哥拉,98267,110,95554,818,-212,97.2%,322,1895,1.9%,0,1
46,东帝汶,20136,31,19746,268,31,98.1%,0,122,0.6%,0,1
47,新喀里多尼亚,24491,1230,15380,8827,1049,62.8%,181,284,1.2%,0,1
48,马达加斯加,59319,0,53582,4463,0,90.3%,0,1274,2.1%,0,1
49,津巴布韦,230012,185,219997,4663,-189,95.6%,362,5352,2.3%,12,1
50,佛得角,55739,26,54975,368,-136,98.6%,162,396,0.7%,0,1
51,蒙特塞拉特,163,0,158,4,-2,96.9%,2,1,0.6%,0,1
52,海地,29323,106,24558,3973,69,83.7%,31,792,2.7%,6,1
53,尼日尔,8656,3,8074,281,-45,93.3%,45,301,3.5%,3,1
54,乍得,7155,0,4874,2091,0,68.1%,0,190,2.7%,0,1
55,萨尔瓦多,135109,0,120327,10868,-9,89.1%,0,3914,2.9%,9,1
