id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,128632,5697,119574,465,23,4,1638806400,130,1,54,0,22,6,10346,118256,30,70,30,70,3361,50,1
2,oversea,267474100,5285031,240904571,None,None,None,1638806400,629935,None,614862,7907,None,None,None,None,None,None,None,None,21284498,7166,None
