id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,111074614,577763,103011465,6738861,92.7%,1324288,1.2%
2,欧洲,149464504,1017560,120911139,26871754,80.9%,1681611,1.1%
3,非洲,11421015,13434,10424494,749530,91.3%,246991,2.2%
4,大洋洲,3263822,29789,2958764,297653,90.7%,7405,0.2%
5,北美洲,94004074,154387,63549875,29072254,67.6%,1381945,1.5%
6,南美洲,53050398,175263,45978960,5825260,86.7%,1246178,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
