id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,135206,5700,122659,748,42,13,1642003200,368,9,241,1,11,1,11949,123186,58,239,6847,55,1
2,oversea,321092747,5535252,264211901,None,None,None,1642003200,3496765,None,1228609,9508,None,None,None,None,None,None,51345594,2258648,None
