id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,107772656,512046,99914121,6545869,92.7%,1312666,1.2%
2,欧洲,143739168,1220359,112028085,30050751,77.9%,1660332,1.2%
3,非洲,11323106,13246,10267671,810827,90.7%,244608,2.2%
4,大洋洲,3123104,25971,2867844,248199,91.8%,7061,0.2%
5,北美洲,93024795,233704,61572993,30088719,66.2%,1363083,1.5%
6,南美洲,51967819,228560,44396790,6334230,85.4%,1236799,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
