id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,81916342,81545,79210461,1498824,96.7%,1207057,1.5%
2,欧洲,73283936,313074,64578795,7294533,88.1%,1410608,1.9%
3,非洲,8724473,5483,8123025,377929,93.1%,223519,2.6%
4,大洋洲,367645,1371,327826,35608,89.2%,4211,1.1%
5,北美洲,58984985,27881,47507190,10285849,80.5%,1191946,2.0%
6,南美洲,38968402,12720,37046782,740070,95.1%,1181550,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
