id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127814,5697,119243,462,22,3,1638115200,50,0,44,0,7,-1,10169,117645,18,32,18,32,2874,13,1
2,oversea,262294331,5219030,236861934,None,None,None,1638115200,415265,None,346960,4697,None,None,None,None,None,None,None,None,20213367,63608,None
