id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,103288352,672125,95181440,6811049,92.2%,1295863,1.3%
2,欧洲,133799486,1693718,101218819,30946425,75.6%,1634242,1.2%
3,非洲,11164404,32176,10019004,904076,89.7%,241324,2.2%
4,大洋洲,2903973,35000,2542430,354975,87.6%,6568,0.2%
5,北美洲,90831982,345852,58901327,30591545,64.8%,1339110,1.5%
6,南美洲,50070891,384273,42773374,6074138,85.4%,1223379,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
