id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,126836,5697,117934,529,39,2,1636387200,61,1,54,1,21,-6,9794,117042,15,46,15,46,3205,6,1
2,oversea,251421320,5073935,227628873,None,None,None,1636387200,479569,None,487045,7275,None,None,None,None,None,None,None,None,18718512,-14751,None
