id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,268850,6855,136140,1298,143,9,1646150400,40351,5,710,376,20,1,14777,234271,160,20389,125855,19662,1
2,oversea,440571153,5988764,373694330,None,None,None,1646150400,1606644,None,2558693,8582,None,None,None,None,None,None,60888059,-960631,None
