id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,118007571,600761,108422157,8238364,91.9%,1347050,1.1%
2,欧洲,157834428,804420,136422883,19695786,86.4%,1715759,1.1%
3,非洲,11549287,15892,10664432,635087,92.3%,249768,2.2%
4,大洋洲,3707588,51363,3263246,436422,88.0%,7920,0.2%
5,北美洲,95077423,79531,66481786,27186746,69.9%,1408891,1.5%
6,南美洲,54391672,54677,48398274,4734105,89.0%,1259293,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
